Datim,Duration,id,State,State_SC,State_TR
2023-01-03 17:30:00,0.5,507,UP,"",""
2023-01-03 18:00:00,1,2510,UP,UP,UP
2023-01-03 18:00:00,2,1203,UP,"",""
2023-01-03 18:30:00,1.5,1773,UP,"",""
2023-01-03 18:44:04,2.5094444444444446,2160,UP,"",""
2023-01-03 18:57:32,2.4077777777777776,959,UP,"",""
2023-01-03 19:00:00,14,639,UP,"",""
2023-01-03 19:25:06,0.7152777777777778,1566,UP,"",""
2023-01-03 21:56:08,3.8916666666666666,2161,UP,"",""
2023-01-03 22:00:00,12,2268,UP,"",""
2023-01-03 22:08:36,3.4825,876,UP,"",""
2023-01-03 22:31:38,0.8591666666666666,1807,UP,"",""
2023-01-03 22:34:11,3.345,981,UP,"",""
2023-01-03 22:48:19,,1807,DOWN,"",""
2023-01-03 23:22:58,,1807,UP,"",""
2023-01-03 23:23:24,3.6325,1806,UP,"",""
2023-01-04 02:07:41,3.8825,960,UP,"",""
2023-01-04 02:41:10,3.160277777777778,2173,UP,"",""
2023-01-04 03:01:38,0.47888888888888886,1805,UP,"",""
2023-01-04 04:00:00,6,1956,UP,"",""
2023-01-04 04:14:00,2.151666666666667,983,UP,"",""
2023-01-04 06:00:00,2,1741,UP,"",""
2023-01-04 06:19:56,1.553611111111111,961,UP,"",""
2023-01-04 06:25:38,7.1466666666666665,2165,UP,"",""
2023-01-04 06:27:39,3.1605555555555553,990,UP,"",""
2023-01-04 07:00:00,3,1175,UP,"",""
2023-01-04 07:20:47,1.1536111111111111,1917,UP,"",""
2023-01-04 07:55:36,2.0733333333333333,942,UP,"",""
2023-01-04 08:00:00,1,1345,UP,"",""
2023-01-04 08:00:00,2,2379,UP,DOWN,UP
2023-01-04 08:00:00,2.6147222222222224,1548,UP,"",""
2023-01-04 08:00:00,8,2070,DOWN,"",""
2023-01-04 08:19:52,1.0563888888888888,1940,UP,"",""
2023-01-04 08:30:00,4,457,UP,"",""
2023-01-04 09:00:00,1.5,124,UP,"",""
2023-01-04 09:00:00,2,744,UP,"",""
2023-01-04 09:00:00,2,1293,UP,"",""
2023-01-04 09:00:00,2,1603,UP,"",""
2023-01-04 09:00:00,4,146,UP,"",""
2023-01-04 09:00:00,5,2119,UP,"",""
2023-01-04 09:00:00,7,1966,DOWN,"",""
2023-01-04 09:00:00,8,397,UP,"",""
2023-01-04 09:00:00,9,1246,UP,"",""
2023-01-04 09:15:16,2.7455555555555557,264,UP,"",""
2023-01-04 09:30:00,0.5,773,UP,"",""
2023-01-04 09:30:00,0.5,2527,UP,UP,UP
2023-01-04 09:30:00,1,489,UP,"",""
2023-01-04 09:30:00,2,1255,UP,"",""
2023-01-04 09:52:30,2.1294444444444443,1642,UP,"",""
2023-01-04 09:56:58,3.9908333333333332,996,UP,"",""
2023-01-04 10:00:00,1,1160,UP,"",""
2023-01-04 10:00:00,1,2334,UP,UP,UP
2023-01-04 10:00:00,1,2335,UP,UP,UP
2023-01-04 10:00:00,1,2634,UP,UP,UP
2023-01-04 10:00:00,4,2317,UP,"",""
2023-01-04 10:00:00,4,2370,UP,DOWN,UP
2023-01-04 10:00:00,7.5,1692,UP,"",""
2023-01-04 11:00:00,1,724,UP,"",""
2023-01-04 11:00:00,1,1349,UP,"",""
2023-01-04 11:00:00,2,855,UP,"",""
2023-01-04 11:00:00,2,1216,UP,"",""
2023-01-04 11:00:00,2,1359,UP,"",""
2023-01-04 11:30:00,1,1510,DOWN,"",""
2023-01-04 12:00:00,1,1901,UP,"",""
2023-01-04 12:00:00,2,746,UP,"",""
2023-01-04 12:00:00,4,2267,UP,"",""
2023-01-04 12:00:00,4,2560,UP,UP,UP
2023-01-04 12:30:00,2.5,361,UP,"",""
2023-01-04 12:30:00,3,1514,DOWN,"",""
2023-01-04 12:30:00,3,1592,UP,"",""
2023-01-04 13:00:00,2,292,UP,"",""
2023-01-04 13:00:00,2,854,UP,"",""
2023-01-04 13:00:00,2,1212,UP,"",""
2023-01-04 13:00:00,14,2295,UP,"",""
2023-01-04 14:00:00,1,1219,UP,"",""
2023-01-04 14:00:00,1,1841,UP,"",""
2023-01-04 14:00:00,1.0386111111111112,1003,UP,"",""
2023-01-04 14:00:00,3,672,UP,"",""
2023-01-04 14:00:00,4,1079,UP,"",""
2023-01-04 14:00:00,4,1654,DOWN,"",""
2023-01-04 14:14:30,3.8419444444444446,963,UP,"",""
2023-01-04 14:17:25,2.9516666666666667,2149,UP,"",""
2023-01-04 15:00:00,0.5,363,UP,"",""
2023-01-04 15:00:00,0.5,598,UP,"",""
2023-01-04 15:00:00,0.5,1380,UP,"",""
2023-01-04 15:00:00,1,1154,UP,"",""
2023-01-04 15:00:00,1.5,1857,UP,"",""
2023-01-04 15:00:00,2,851,UP,"",""
2023-01-04 15:10:04,,1654,UP,"",""
2023-01-04 15:10:56,3.0011111111111113,978,UP,"",""
2023-01-04 15:30:00,0.5,2345,UP,UP,UP
2023-01-04 15:30:00,2,1109,UP,"",""
2023-01-04 16:00:00,1,2635,UP,UP,UP
2023-01-04 16:00:00,3,1173,UP,"",""
2023-01-04 16:00:00,5.5,202,UP,"",""
2023-01-04 16:00:00,8,2264,UP,"",""
2023-01-04 16:30:00,1.5,1856,UP,"",""
2023-01-04 16:30:00,2.5675,177,UP,"",""
2023-01-04 17:00:00,1,720,UP,"",""
2023-01-04 17:00:00,1,2637,UP,UP,UP
2023-01-04 17:00:00,2,850,UP,"",""
2023-01-04 18:00:00,0.5,2518,UP,UP,UP
2023-01-04 18:00:00,1,593,UP,"",""
2023-01-04 18:00:00,1.5966666666666667,210,UP,"",""
2023-01-04 18:00:00,2,1747,UP,"",""
2023-01-04 18:00:00,12,637,UP,"",""
2023-01-04 18:30:00,0.7772222222222223,1589,UP,"",""
2023-01-04 18:30:00,2,2127,UP,"",""
2023-01-04 18:30:00,2.4611111111111112,1946,UP,"",""
2023-01-04 19:30:00,2,172,UP,"",""
2023-01-04 20:32:53,0.9391666666666667,2148,UP,"",""
2023-01-04 21:56:43,3.9811111111111113,2147,UP,"",""
2023-01-04 22:00:00,1,2641,UP,UP,UP
2023-01-04 22:19:20,0.525,1804,UP,"",""
2023-01-04 22:26:11,1.8158333333333334,1002,UP,"",""
2023-01-04 23:53:40,2.33,1937,UP,"",""
2023-01-05 03:15:21,2.9902777777777776,2172,UP,"",""
2023-01-05 03:34:19,2.5325,1007,UP,"",""
2023-01-05 03:41:30,2.3097222222222222,1491,UP,"",""
2023-01-05 04:00:00,6,1958,UP,"",""
2023-01-05 06:00:00,2,752,UP,"",""
2023-01-05 06:00:00,5.427777777777778,1855,UP,"",""
2023-01-05 06:19:12,1.6033333333333333,965,UP,"",""
2023-01-05 06:29:28,3.823611111111111,1008,UP,"",""
2023-01-05 06:30:00,7,542,UP,"",""
2023-01-05 06:37:34,6.095555555555555,2139,UP,"",""
2023-01-05 06:58:25,0.022222222222222223,476,UP,"",""
2023-01-05 07:00:00,1.5,1918,UP,"",""
2023-01-05 07:00:00,2.6144444444444446,229,UP,"",""
2023-01-05 07:00:00,4,456,UP,"",""
