CSIM_TIMESTAMP,Area,DEL_FLAG,ENT_NAME,FACILITY,ROW_ID
2020-05-29 10:49:19,Area/Lab/Lab/Etch,N,DSE_1,PLINE200,3685
2020-05-29 10:51:05,Area/Dummy-Area/Dummy-SubArea/Dummy-EntityGroup,N,RECUP,PLINE200,4971
2020-06-19 08:55:19,Area/Lab/Lab/Metalisation,N,MAN_AU_PLATING,PLINE200,5164
2021-07-01 12:47:49,Area/Litho/Exposure/Scanner,N,SC1970,PLINE300,10680
2021-07-06 07:11:05,Area/WBA/Assembly/Dicing,N,200MM_DICER,PLINE200,5183
2022-03-22 14:23:56,Area/DDEPI/Deposition/EPI,N,COMPOSEGAN,PLINE200,6220
2022-04-23 07:47:17,Area/ISE/Etch/CombinedEtch,N,LAM_BEOL,PLINE200,25532
2022-06-15 07:47:47,Area/DDALD/Deposition/ALD,N,HYPERION_1,PLINE300,25761
2022-07-16 12:47:31,Area/DDEPI/Deposition/EPI,N,GAN_V,PLINE200,7497
2022-07-23 07:47:14,Area/DDEPI/Deposition/EPI,N,HBM650,PLINE200,8286
2022-09-21 12:23:39,Area/ISE/Stocker/Stocker,N,KARDEX_SH6,PLINE300,13786
2022-09-21 12:28:40,Area/Litho/Exposure/Track,N,CUPCLEAN_DRYICE,PLINE300,22642
2022-09-21 18:13:44,Area/WMCE/Plating/Plating,N,SAM_OVEN,PLINE300,9510
2022-10-15 07:47:43,Area/ELMIC/Metrology/Inspections,N,H6300_3,PLINE300,26177
2022-10-21 07:47:33,Area/Dummy-Area/Dummy-SubArea,N,ASM,PLINE300,6233
2022-11-15 12:47:37,Area/Litho/Metrology/Inspections,N,E3650,PLINE300,26273
2022-12-08 12:23:28,Area/Dummy-Area/Dummy-SubArea/Dummy-EntityGroup,N,DUMMY200,PLINE200,4772
2022-12-08 14:27:56,Area/WMCE/Clean/Etch,N,UCR_WB,PLINE200,4541
2022-12-08 14:48:10,Area/WMCE/Clean/Clean,N,AN_WB,PLINE200,23977
2022-12-08 16:44:50,Area/ILIME/Metrology/Inspections,N,GS1000_LP2,PLINE300,22436
