Begin,Description,End,FACILITY,IIO_Res_id,Modules,Tool,User_id,WBS
2023-01-03 14:00:00,DSA,2023-01-03 15:00:00,PLINE300,803,"",KLA2925,vanbel53,31199/00650
2023-01-03 14:00:00,i,2023-01-03 15:00:00,PLINE300,968,"",SEMVISION,maes72,44999/01997
2023-01-03 14:00:00,Si,2023-01-03 15:00:00,PLINE300,319,"",JVX7300M,khazak83,30990/01658
2023-01-03 14:30:00,d,2023-01-03 15:00:00,PLINE300,2258,SN,EP5,schoof76,31199/01057
2023-01-03 07:00:00,DPC presentation,2023-01-03 15:30:00,PLINE300,1090,"",HELIOS_G5,koryto87,42199/00160
2023-01-03 14:00:00,sem nil,2023-01-03 15:30:00,PLINE300,280,"",NOVA200_2,willegem,97401/01743
2023-01-03 13:00:00,Merck,2023-01-03 16:00:00,PLINE300,1046,"",HITACHI5000,hillen84,31199/01680
2023-01-03 14:00:00,bga spectra,2023-01-03 16:00:00,PLINE300,418,"",YS375,canga29,31199/01617
2023-01-03 14:00:00,cleave,2023-01-03 16:00:00,PLINE300,194,"",MC10,beirnaer,32299/00013
2023-01-03 14:00:00,JSR Private,2023-01-03 16:00:00,PLINE300,2397,TOPL;BOTL,TRDUOS,krishn87,31199/01513
2023-01-03 15:00:00,EUV exposures,2023-01-03 16:30:00,PLINE300,1358,"",SC3400,das73,31199/01889
2023-01-03 15:00:00,EUV exposures,2023-01-03 16:30:00,PLINE300,1454,"",TR3400,das73,31199/01889
2023-01-03 15:30:00,cross-section,2023-01-03 16:30:00,PLINE200,1821,"",XL30_CF,wodarz95,97406/01185
2023-01-03 16:00:00,new Monitor run,2023-01-03 16:30:00,PLINE300,2466,PM,EP5,schoof76,31199/00653
2023-01-03 14:00:00,Measurement,2023-01-03 17:00:00,PLINE200,1691,"",WYCO,halbac65,97401/00942
2023-01-03 15:00:00,DEVINPs,2023-01-03 17:00:00,PLINE300,684,"",PROVISION2E,janard53,38199/00432
2023-01-03 15:00:00,sem,2023-01-03 17:00:00,PLINE300,893,"",SEMVISION,beirnaer,32299/00013
2023-01-03 15:30:00,Full wafer experiment D06-08,2023-01-03 17:00:00,PLINE300,2073,LP1;PM6,LAM_E6_2,li99,38199/01715
2023-01-03 16:30:00,ASML private,2023-01-03 17:00:00,PLINE300,1346,"",SC3400,aubert85,31199/01571
2023-01-03 16:30:00,ASML private,2023-01-03 17:00:00,PLINE300,1458,"",TR3400,aubert85,31199/01571
2023-01-03 16:00:00,GATR FTIR,2023-01-03 17:30:00,PLINE300,627,"",FTIR_2,naqvi66,31199/01988
2023-01-03 16:00:00,Internal process development,2023-01-03 17:30:00,PLINE300,378,"",2830ZT,chauha79,30990/32063
2023-01-03 17:00:00,FEM,2023-01-03 17:30:00,PLINE300,1272,"",SC3400,dauend87,98601/00962
2023-01-03 17:00:00,FEM,2023-01-03 17:30:00,PLINE300,1382,"",TR3400,dauend87,98601/00962
2023-01-03 15:00:00,wp6,2023-01-03 18:00:00,PLINE300,2335,SN,EP5,hasan30,31199/01876
2023-01-03 16:00:00,FEM measurements,2023-01-03 18:00:00,PLINE300,1068,"",HITACHI5000,das89,38199/01284
2023-01-03 17:30:00,ATR-FTIR with liquid cell,2023-01-03 18:00:00,PLINE300,766,"",FTIR_2,wu78,32005/00330
2023-01-03 17:00:00,DEVINPs,2023-01-03 18:30:00,PLINE300,685,"",PROVISION2E,janard53,38199/01952
2023-01-03 17:00:00,Imaging electrodeposited layers,2023-01-03 18:30:00,PLINE300,207,"",NOVA200_2,aarts61,97406/01185
2023-01-03 14:00:00,private,2023-01-03 19:00:00,PLINE300,1518,"",H6300,fukumu91,31199/02019
2023-01-03 15:00:00,q,2023-01-03 19:00:00,PLINE300,1252,"",H6300_2,vdbroecn,31199/01889
2023-01-03 18:00:00,measure lot,2023-01-03 19:00:00,PLINE300,397,"",SC2000,schaap,31199/31811
2023-01-03 18:00:00,devinp,2023-01-03 20:00:00,PLINE300,997,"",HITACHI5000,debacker,31199/00653
2023-01-03 18:30:00,i,2023-01-03 20:00:00,PLINE300,969,"",SEMVISION,redants,44999/01997
2023-01-03 18:00:00,FIB,2023-01-03 22:00:00,PLINE300,1147,"",HELIOS460,impagn97,42199/00160
2023-01-03 11:00:00,pellicle,2023-01-04 00:00:00,PLINE300,421,"",YS250,bekaert,31199/00979
2023-01-04 06:00:00,i,2023-01-04 08:00:00,PLINE300,926,"",SEMVISION,engelen,31029/01811
2023-01-04 07:30:00,test strip rate with cool down,2023-01-04 08:30:00,PLINE200,2252,PM2;PM3,SPTS_OMEGA,nedelj21,36004/01224
2023-01-03 16:00:00,Tb measurements for LDZ,2023-01-04 09:00:00,PLINE200,1693,"",EV11,chen66,31499/02180
2023-01-03 19:00:00,Use,2023-01-04 09:00:00,PLINE300,1500,"",H6300,zidan45,31199/01988
2023-01-04 08:00:00,scrjdp,2023-01-04 09:00:00,PLINE300,825,"",KLA2925,vanderey,31199/31191
2023-01-04 08:00:00,Biocube resist inspection,2023-01-04 09:30:00,PLINE300,214,"",NOVA200_2,leruth67,44999/01997
2023-01-03 22:00:00,MAZO process development,2023-01-04 10:00:00,PLINE300,2081,LP1;PM2;PM3;PM1,XP4_4,pavel13,31499/01284
2023-01-04 04:00:00,FAB XSEM support,2023-01-04 10:00:00,PLINE300,1085,"",SU8000,caluwaer,42199/00160
2023-01-04 07:00:00,pwec,2023-01-04 10:00:00,PLINE300,1022,"",HITACHI5000,baudem,31199/01920
2023-01-04 08:00:00,i,2023-01-04 10:00:00,PLINE300,227,"",HELIOS1200,dangol,37092/02172
2023-01-04 08:00:00,test,2023-01-04 10:00:00,PLINE300,96,"",TR3300,dilien72,31199/30079
2023-01-04 09:30:00,recipe creation,2023-01-04 10:00:00,PLINE300,1176,"",H6300_2,dauend87,98600/00962
2023-01-04 09:30:00,test,2023-01-04 10:00:00,PLINE300,44,"",SC3400,dilien72,31199/30079
2023-01-04 09:30:00,test,2023-01-04 10:00:00,PLINE300,57,"",TR3400,dilien72,31199/30079
2023-01-04 09:00:00,recipe setup,2023-01-04 10:30:00,PLINE300,678,"",ARCHER700,baudem,38199/01836
2023-01-04 09:30:00,ATR-FTIR with liquid cell,2023-01-04 10:30:00,PLINE300,767,"",FTIR_2,wu78,32005/00330
2023-01-04 09:00:00,AL225331 - D05 D10,2023-01-04 11:00:00,PLINE300,172,"",KLA2925,beggia74,31199/00653
2023-01-04 09:00:00,devinp,2023-01-04 11:00:00,PLINE300,255,"",NX3DM,vbelle62,36003/01224
2023-01-04 09:00:00,DSA,2023-01-04 11:00:00,PLINE300,1527,"",H6300,vanbel53,31199/00650
2023-01-04 10:00:00,for Mohand,2023-01-04 11:00:00,PLINE300,1034,"",HITACHI5000,raymae79,31199/01918
2023-01-04 10:00:00,making samples,2023-01-04 11:00:00,PLINE300,1321,"",SC3400,genjim61,31199/02273
2023-01-04 10:00:00,making samples,2023-01-04 11:00:00,PLINE300,1425,"",TR3400,genjim61,31199/02273
2023-01-04 10:00:00,SALSA3 development,2023-01-04 11:00:00,PLINE300,2279,BOTL,TR1950,herman57,31199/00653
2023-01-04 10:00:00,Training,2023-01-04 11:00:00,PLINE300,405,"",TR2000,drent34,31199/31811
2023-01-04 09:30:00,Microscope check cracks,2023-01-04 11:30:00,PLINE300,723,"",INS300,guo48,98300/14175
2023-01-04 10:00:00,DSA,2023-01-04 12:00:00,PLINE300,2425,PM,EDR7100,verstr99,31199/00650
2023-01-04 10:00:00,MOKE dev JDP KLA,2023-01-04 12:00:00,PLINE300,704,"",POLARKERR_2,talmel16,38199/00432
2023-01-04 11:00:00,i,2023-01-04 12:00:00,PLINE300,183,"",H6300,raymae79,31199/01918
2023-01-04 11:00:00,Light Training,2023-01-04 12:00:00,PLINE300,783,"",KLA2925,peters25,31199/02273
2023-01-04 08:30:00,p,2023-01-04 12:30:00,PLINE300,2053,LP1;LP2;LP3;PM1,EXTREME_2,goovae19,98601/01062
2023-01-04 11:30:00,devinp operation,2023-01-04 12:30:00,PLINE300,2207,LP2;P1L2,NOKOTA,mudige97,32299/00013
2023-01-04 09:00:00,TOK bonding,2023-01-04 13:00:00,PLINE200,1812,"",BONDER_200,thomas82,44042/49500
2023-01-04 11:00:00,coupon etching,2023-01-04 13:00:00,PLINE300,2193,LP2;PM3,LAM_E5,fathze21,31299/02062
2023-01-04 11:00:00,lam work,2023-01-04 13:00:00,PLINE300,1256,"",H6300_2,haider15,31199/01617
2023-01-04 11:00:00,pwec,2023-01-04 13:00:00,PLINE300,1023,"",HITACHI5000,baudem,31199/01920
2023-01-04 12:00:00,test,2023-01-04 13:00:00,PLINE300,17,"",SP5,dilien72,31199/30079
2023-01-04 09:00:00,DSA,2023-01-04 14:00:00,PLINE300,2385,BOTL,TRDUOS,verstr99,31199/00650
2023-01-04 10:00:00,hmq and measurement,2023-01-04 14:00:00,PLINE300,329,"",YS375,canga29,38199/02270
2023-01-04 10:00:00,Inpria,2023-01-04 14:00:00,PLINE300,843,"",TR3300,choudr12,31199/31247
2023-01-04 12:00:00,scrjdp,2023-01-04 14:00:00,PLINE300,1597,"",H6300,vanderey,31199/31191
2023-01-04 12:30:00,Monitor,2023-01-04 15:00:00,PLINE300,2467,PM,EP5,schoof76,31199/00653
2023-01-04 13:00:00,EUVR,2023-01-04 15:00:00,PLINE300,1047,"",HITACHI5000,kim94,31199/01680
2023-01-04 13:00:00,test,2023-01-04 15:00:00,PLINE300,156,"",H6300_2,furuka28,31199/01514
2023-01-04 13:00:00,test,2023-01-04 15:00:00,PLINE300,2440,PM,EDR7100,dilien72,31199/30079
2023-01-04 14:00:00,i,2023-01-04 15:00:00,PLINE300,299,"",HELIOS1200_2,vrancken,37092/02172
2023-01-04 14:00:00,i,2023-01-04 15:00:00,PLINE300,927,"",SEMVISION,dusar,31029/01811
2023-01-04 14:00:00,Measurement,2023-01-04 15:00:00,PLINE300,691,"",HITACHI9380,wang24,31199/01889
2023-01-04 12:30:00,sem nil;sem NIL,2023-01-04 15:30:00,PLINE300,281,"",NOVA200_2,willegem,97401/01743
2023-01-04 12:30:00,X-section SEM,2023-01-04 15:30:00,PLINE200,1618,"",NOVA200,stokhof,30990/02250
2023-01-04 15:00:00,Data copy,2023-01-04 15:30:00,PLINE300,2484,PM,EP5,hasan30,31199/01876
2023-01-04 15:00:00,DSA,2023-01-04 15:30:00,PLINE300,604,"",H5000_2,kampit73,31199/01680
2023-01-04 15:00:00,MHM,2023-01-04 15:30:00,PLINE300,1956,LP1;PM1,LAM_E5_2,kampit73,31199/01680
2023-01-04 08:00:00,tem,2023-01-04 16:00:00,PLINE300,1114,"",TITAN,faviap,42199/00160
2023-01-04 09:00:00,ws2,2023-01-04 16:00:00,PLINE300,1142,"",TECNAIF30,koylan92,42199/00160
2023-01-04 12:00:00,High NA track qualification,2023-01-04 16:00:00,PLINE300,1322,"",SC3400,vdbroecn,31199/02273
2023-01-04 12:00:00,High NA track qualification,2023-01-04 16:00:00,PLINE300,1426,"",TR3400,vdbroecn,31199/02273
2023-01-04 12:00:00,MAZO/ZMO o3 process,2023-01-04 16:00:00,PLINE300,1923,LP1;PM1,XP4_4,thukka30,30990/32063
2023-01-04 15:00:00,Use,2023-01-04 16:00:00,PLINE300,1070,"",HITACHI5000,debruy71,38199/37862
2023-01-04 15:30:00,coat,2023-01-04 16:00:00,PLINE300,192,"",TR2000,dauend87,98601/00962
2023-01-04 15:00:00,DEVINPs,2023-01-04 16:30:00,PLINE300,977,"",SEMVISION,janard53,37092/02170
2023-01-04 09:00:00,Queue Quality check;APC;afd,2023-01-04 17:00:00,PLINE300,2259,SN,EP5,schoof76;hsia24;schelc12,31199/01057
2023-01-04 14:00:00,Use,2023-01-04 17:00:00,PLINE300,1501,"",H6300,zidan45,31199/01988
2023-01-04 15:00:00,recipe,2023-01-04 17:00:00,PLINE300,1195,"",H6300_2,vdbroecn,31199/31811
2023-01-04 16:00:00,Merck JDP,2023-01-04 17:00:00,PLINE300,1288,"",SC3400,verstr99,31199/00650
2023-01-04 16:00:00,Merck JDP,2023-01-04 17:00:00,PLINE300,1399,"",TR3400,verstr99,31199/00650
2023-01-04 10:00:00,Removal Rate determination 3 dif,2023-01-04 17:30:00,PLINE300,2116,LP1;LP2;CLN,REFLEXION_4,kenens78,98850/02021
2023-01-04 15:30:00,tem prep,2023-01-04 17:30:00,PLINE300,749,"",HELIOS_G5,seidelf,39320/36502
2023-01-04 09:00:00,mm300,2023-01-04 18:00:00,PLINE300,314,"",HYBRID_BONDER,kennes63,31012/01084
2023-01-04 14:00:00,AL218747/3 D17 D18 D21,2023-01-04 18:00:00,PLINE300,464,"",PROVISION2E,beggia74,31199/00653
2023-01-04 14:00:00,FIB,2023-01-04 18:00:00,PLINE300,1148,"",HELIOS460,impagn97,42199/00160
2023-01-04 16:00:00,EBR clean BB510,2023-01-04 18:00:00,PLINE200,1740,"",DEBOND_CLEANER,lefevr14,98300/01618
2023-01-04 16:30:00,sem,2023-01-04 18:00:00,PLINE300,894,"",SEMVISION,beirnaer,32299/00013
2023-01-04 17:00:00,APC,2023-01-04 18:00:00,PLINE300,1590,"",H6300,das89,31199/02287
2023-01-04 17:00:00,scanner,2023-01-04 18:00:00,PLINE300,1273,"",SC3400,dauend87,98601/00962
2023-01-04 17:00:00,scanner,2023-01-04 18:00:00,PLINE300,1383,"",TR3400,dauend87,98601/00962
2023-01-04 16:30:00,DEVINPs,2023-01-04 18:30:00,PLINE300,2040,LP1;LP2;LP3;PM2;PM3;PM1,CIRCL,janard53,38199/01715
2023-01-04 18:00:00,exposure,2023-01-04 18:30:00,PLINE300,1323,"",SC3400,xiang38,31199/02273
2023-01-04 18:00:00,exposure,2023-01-04 18:30:00,PLINE300,1427,"",TR3400,xiang38,31199/02273
2023-01-04 16:00:00,devinp,2023-01-04 19:00:00,PLINE300,998,"",HITACHI5000,debacker,31199/00653
2023-01-04 17:00:00,DSA,2023-01-04 19:00:00,PLINE300,1200,"",H6300_2,verstr99,31199/00650
2023-01-04 18:00:00,CW measurements,2023-01-04 19:00:00,PLINE300,674,"",H5000_2,das89,38199/01284
2023-01-04 18:00:00,DSA,2023-01-04 19:00:00,PLINE300,1964,LP1;SM1,DNS_4,verstr99,31199/00650
2023-01-04 18:30:00,Imaging electrodeposited layers,2023-01-04 19:00:00,PLINE300,208,"",NOVA200_2,aarts61,97406/01185
2023-01-04 18:00:00,i,2023-01-04 20:00:00,PLINE300,928,"",SEMVISION,redants,31029/01811
2023-01-04 18:30:00,DSA,2023-01-04 20:30:00,PLINE300,2386,BOTL,TRDUOS,verstr99,31199/00650
2023-01-04 18:30:00,x-sem,2023-01-04 20:30:00,PLINE300,669,"",SU8000,vdbroecn,31199/01655
2023-01-04 19:30:00,DEVINPs,2023-01-04 21:30:00,PLINE300,2041,LP1;LP2;LP3;PM2;PM3;PM1,CIRCL,janard53,38199/01715
2023-01-04 20:00:00,EBR clean BB510,2023-01-04 21:30:00,PLINE200,1741,"",DEBOND_CLEANER,lefevr14,98300/01618
2023-01-04 22:00:00,High NA track qualification,2023-01-04 23:00:00,PLINE300,1324,"",SC3400,vdbroecn,31199/02273
2023-01-04 22:00:00,High NA track qualification,2023-01-04 23:00:00,PLINE300,1428,"",TR3400,vdbroecn,31199/02273
2023-01-04 16:00:00,MAZO w/ O3,2023-01-05 00:00:00,PLINE300,2082,LP1;PM1,XP4_4,pavel13,31499/01284
2023-01-04 13:00:00,Pellicle;pellicle,2023-01-05 03:00:00,PLINE300,422,"",YS250,bekaert,31199/00979
