DEL_FLAG,FACILITY,ENT_NAME,ROW_ID,CSIM_TIMESTAMP,Area
N,PLINE300,EXSOLVE_2,26398,1/8/2023 12:47,Area/ELMIC/Metrology/Inspections
N,PLINE200,SETNA,24315,1/11/2023 10:36,Area/WBA/Assembly/FlipChip
N,PLINE200,F5_X,8048,1/12/2023 14:58,Area/ILIME/Metrology/Ellipsometry
N,PLINE300,SEALER_4,17127,1/13/2023 10:44,Area/ISE/Maintenance/Maintenance
N,PLINE200,HTC8030_CF,4548,1/15/2023 13:02,Area/WMCE/CarrierClean/CarrierClean
N,PLINE300,MC10,20555,1/16/2023 6:16,Area/ELMIC/Metrology/Inspections
N,PLINE300,STOCKER_5,21763,1/16/2023 10:11,Area/ISE/Stocker/Stocker
N,PLINE300,SP2,724,1/16/2023 10:26,Area/ILIME/Metrology/Defectivity
N,PLINE200,XL30_CF,3975,1/16/2023 12:47,Area/ELMIC/Metrology/Inspections
N,PLINE200,PVAT_PLASMA,9688,1/17/2023 22:21,Area/WBA/Assembly/FlipChip
N,PLINE200,RIBER,5231,1/18/2023 17:48,Area/DDEPI/Deposition/EPI
N,PLINE200,MAN_SPIN,5184,1/18/2023 23:17,Area/Litho/Misc/Misc
