,FO_ROW_ID,EVENT_ROW_ID_Begin,Begin,End,Fab300_Res_id,FACILITY,ResTk,Tool,User_id,WBS
966,20579,963693515,2023-01-17 11:45:00,2023-01-17 12:35:00,750,PLINE300,N/a,VERIOS,vrebos45,39320/36502
967,20579,963724030,2023-01-17 14:13:00,2023-01-17 17:58:00,751,PLINE300,N/a,VERIOS,dutrow20,39320/36502
968,20579,963830364,2023-01-17 19:29:00,2023-01-17 21:38:00,752,PLINE300,N/a,VERIOS,claeseng,37004/01376
969,20579,963861602,2023-01-17 21:53:00,2023-01-18 01:54:00,753,PLINE300,N/a,VERIOS,sainch77,39320/36502
970,20579,963929564,2023-01-18 02:53:00,2023-01-18 06:10:00,754,PLINE300,N/a,VERIOS,vdstaey,39320/36502
971,20579,963976243,2023-01-18 08:22:00,2023-01-18 09:31:00,755,PLINE300,N/a,VERIOS,vrebos45,39320/36502
972,20579,964027970,2023-01-18 12:00:00,2023-01-18 13:33:00,756,PLINE300,N/a,VERIOS,derudd92,39320/36502
973,20579,964063628,2023-01-18 14:15:00,2023-01-18 20:54:00,757,PLINE300,N/a,VERIOS,claeseng,97700/01369
975,20579,964280066,2023-01-19 06:44:00,2023-01-19 09:19:00,758,PLINE300,N/a,VERIOS,vrebos45,39320/36502
976,20579,964350195,2023-01-19 11:19:00,2023-01-19 13:37:00,759,PLINE300,N/a,VERIOS,derudd92,39320/36502
977,20579,964507415,2023-01-19 18:37:00,2023-01-19 19:56:00,760,PLINE300,N/a,VERIOS,mander15,39320/36502
979,20579,964648360,2023-01-20 07:32:00,2023-01-20 09:14:00,761,PLINE300,N/a,VERIOS,vrebos45,39320/36502
980,20579,964724896,2023-01-20 12:22:00,2023-01-20 13:33:00,762,PLINE300,N/a,VERIOS,derudd92,39320/36502
981,20579,964915410,2023-01-20 22:09:00,2023-01-21 02:23:00,763,PLINE300,N/a,VERIOS,rutkow29,39320/36502
982,20579,965009165,2023-01-21 06:48:00,2023-01-22 15:43:00,764,PLINE300,N/a,VERIOS,claeseng,37093/02178
983,20579,965401969,2023-01-23 10:47:00,2023-01-23 13:04:00,765,PLINE300,N/a,VERIOS,mander15,39320/36502
984,20579,965459075,2023-01-23 14:13:00,2023-01-23 17:51:00,766,PLINE300,N/a,VERIOS,sainch77,39320/36502
985,20579,965606769,2023-01-23 21:20:00,2023-01-23 21:53:00,767,PLINE300,N/a,VERIOS,billin72,39320/36502
986,20579,965615348,2023-01-23 22:07:00,2023-01-24 01:13:00,768,PLINE300,N/a,VERIOS,vrebos45,39320/36502
987,20579,965671932,2023-01-24 03:49:00,2023-01-24 05:40:00,769,PLINE300,N/a,VERIOS,derudd92,39320/36502
988,20579,965787697,2023-01-24 13:42:00,2023-01-24 17:02:00,770,PLINE300,N/a,VERIOS,sainch77,39320/36502
989,20579,965906522,2023-01-24 20:08:00,2023-01-24 21:33:00,771,PLINE300,N/a,VERIOS,vdstaey,39320/36502
990,20579,965929928,2023-01-24 22:11:00,2023-01-25 01:48:00,772,PLINE300,N/a,VERIOS,vrebos45,39320/36502
991,20579,966036065,2023-01-25 08:40:00,2023-01-25 10:09:00,773,PLINE300,N/a,VERIOS,michal78,39320/36502
992,20579,966059077,2023-01-25 10:19:00,2023-01-25 12:31:00,774,PLINE300,N/a,VERIOS,beirnaer,32299/00013
993,20579,966143918,2023-01-25 15:28:00,2023-01-25 17:55:00,775,PLINE300,N/a,VERIOS,sainch77,39320/36502
994,20579,966206629,2023-01-25 18:26:00,2023-01-25 21:43:00,776,PLINE300,N/a,VERIOS,billin72,39320/36502
1048,20581,960168449,2023-04-01 09:52:00,2023-04-01 12:00:00,777,PLINE300,4209370,POLARKERR_2,talmel16,38199/00432
1049,20581,960424044,2023-05-01 09:09:00,2023-05-01 15:22:00,778,PLINE300,4228603,POLARKERR_2,talmel16,31499/00432
1050,20581,961707707,2023-10-01 14:49:00,2023-10-01 16:54:00,779,PLINE300,4229959,POLARKERR_2,talmel16,38199/01593
1051,20581,961961630,2023-11-01 10:31:00,2023-11-01 17:15:00,780,PLINE300,4230790,POLARKERR_2,chatte17,38199/01593
1052,20581,962651253,2023-01-13 12:59:00,2023-01-15 09:48:00,781,PLINE300,4231592,POLARKERR_2,talmel16,38199/01593
1053,20581,963274322,2023-01-16 09:07:00,2023-01-16 11:41:00,782,PLINE300,4232168,POLARKERR_2,talmel16,38199/01593
1054,20581,963344620,2023-01-16 11:41:00,2023-01-16 14:11:00,783,PLINE300,4232169,POLARKERR_2,talmel16,31499/01927
1057,20581,965370916,2023-01-23 08:56:00,2023-01-23 11:02:00,784,PLINE300,4234318,POLARKERR_2,talmel16,38199/01593
1058,20581,965405421,2023-01-23 11:02:00,2023-01-23 17:51:00,785,PLINE300,4234318,POLARKERR_2,talmel16,38199/01593
1059,20581,965708665,2023-01-24 08:47:00,2023-01-24 16:21:00,786,PLINE300,4234319,POLARKERR_2,talmel16,38199/01593
1060,20749,960165313,2023-04-01 09:35:00,2023-04-01 09:51:00,787,PLINE300,4209185,TR3400,cloost23,31199/30079
1061,20749,960727912,2023-06-01 09:30:00,2023-06-01 10:03:00,788,PLINE300,4223779,TR3400,hillen84,31199/01680
1062,20749,961214827,2023-08-01 18:02:00,2023-08-01 18:31:00,789,PLINE300,4229626,TR3400,furuka28,31199/01514
1063,20749,961276626,2023-09-01 08:51:00,2023-09-01 09:52:00,790,PLINE300,4228716,TR3400,cloost23,31199/30079
1064,20749,961446077,2023-09-01 18:10:00,2023-09-01 18:52:00,791,PLINE300,4229343,TR3400,furuka28,31199/01514
1065,20749,963309767,2023-01-16 10:10:00,2023-01-16 10:39:00,792,PLINE300,4230103,TR3400,lecocq91,31199/30079
1066,20749,963501974,2023-01-16 18:43:00,2023-01-16 19:45:00,793,PLINE300,4231726,TR3400,furuka28,31199/01514
1068,20749,963988860,2023-01-18 09:42:00,2023-01-18 10:02:00,794,PLINE300,4231319,TR3400,lecocq91,31199/30079
1069,20749,964322879,2023-01-19 10:11:00,2023-01-19 11:14:00,795,PLINE300,4233132,TR3400,lecocq91,31199/30079
1071,20749,965136769,2023-01-21 19:33:00,2023-01-22 00:07:00,796,PLINE300,4234211,TR3400,irutha45,31199/01514
1072,20749,965707507,2023-01-24 08:32:00,2023-01-24 09:25:00,797,PLINE300,N/a,TR3400,nagami79,31199/02273
1073,20749,965823772,2023-01-24 15:06:00,2023-01-24 15:53:00,798,PLINE300,4234847,TR3400,hillen84,31199/01680
1074,20795,960165304,2023-04-01 09:34:00,2023-04-01 09:52:00,799,PLINE300,4209184,SC3400,cloost23,31199/30079
1075,20795,960440793,2023-05-01 10:22:00,2023-05-01 10:43:00,800,PLINE300,4209186,SC3400,robber85,31199/30079
1076,20795,960540726,2023-05-01 16:09:00,2023-05-01 16:46:00,801,PLINE300,4220513,SC3400,huang72,31199/01617
1077,20795,960707246,2023-06-01 07:11:00,2023-06-01 07:35:00,802,PLINE300,4222607,SC3400,sterckxg,31199/31811
1078,20795,960727887,2023-06-01 09:30:00,2023-06-01 10:02:00,803,PLINE300,4223778,SC3400,hillen84,31199/01680
1079,20795,961214664,2023-08-01 18:02:00,2023-08-01 18:30:00,804,PLINE300,4229625,SC3400,furuka28,31199/01514
1080,20795,961276599,2023-09-01 08:51:00,2023-09-01 09:52:00,805,PLINE300,4228715,SC3400,cloost23,31199/30079
1081,20795,961389781,2023-09-01 15:54:00,2023-09-01 17:51:00,806,PLINE300,4229433,SC3400,xiang38,31199/02273
1082,20795,961446036,2023-09-01 18:10:00,2023-09-01 18:52:00,807,PLINE300,4229342,SC3400,furuka28,31199/01514
1083,20795,961845021,2023-10-01 23:05:00,2023-11-01 02:18:00,808,PLINE300,4229424,SC3400,irutha45,31199/00653
1084,20795,961942313,2023-11-01 09:26:00,2023-11-01 09:42:00,809,PLINE300,4228713,SC3400,cloost23,31199/30079
1085,20795,962023546,2023-11-01 14:00:00,2023-11-01 14:17:00,810,PLINE300,4229037,SC3400,oguma46,31199/30092
1086,20795,962070892,2023-11-01 16:54:00,2023-11-01 17:55:00,811,PLINE300,4229494,SC3400,bekaert,31199/00979
1088,20795,963309796,2023-01-16 10:11:00,2023-01-16 10:39:00,812,PLINE300,4230102,SC3400,lecocq91,31199/30079
1089,20795,963361590,2023-01-16 12:51:00,2023-01-16 13:20:00,813,PLINE300,4229416,SC3400,vdries51,31199/01413
1090,20795,963390459,2023-01-16 14:22:00,2023-01-16 15:13:00,814,PLINE300,4230955,SC3400,oguma46,31199/30092
1091,20795,963501775,2023-01-16 18:43:00,2023-01-16 19:44:00,815,PLINE300,4231725,SC3400,furuka28,31199/01514
1093,20795,963988877,2023-01-18 09:42:00,2023-01-18 09:59:00,816,PLINE300,4231318,SC3400,lecocq91,31199/30079
1094,20795,964161642,2023-01-18 18:40:00,2023-01-18 20:15:00,817,PLINE300,4231122,SC3400,kato15,31199/31074
1095,20795,964322917,2023-01-19 10:11:00,2023-01-19 11:14:00,818,PLINE300,4233131,SC3400,lecocq91,31199/30079
1096,20795,964636906,2023-01-20 06:25:00,2023-01-20 07:02:00,819,PLINE300,4222611,SC3400,sterckxg,31199/31811
1098,20795,965136732,2023-01-21 19:32:00,2023-01-22 00:07:00,820,PLINE300,4234210,SC3400,irutha45,31199/01514
1099,20795,965447596,2023-01-23 13:41:00,2023-01-23 14:16:00,821,PLINE300,4233681,SC3400,oguma46,31199/30092
1101,20795,965823656,2023-01-24 15:06:00,2023-01-24 15:53:00,822,PLINE300,4234846,SC3400,hillen84,31199/01680
1102,20795,965897396,2023-01-24 19:24:00,2023-01-24 20:04:00,823,PLINE300,4233053,SC3400,kato15,31199/31074
1104,20795,966049332,2023-01-25 09:42:00,2023-01-25 10:07:00,824,PLINE300,4233818,SC3400,maessc90,31199/30079
1105,20795,966129720,2023-01-25 14:51:00,2023-01-25 15:54:00,825,PLINE300,4233784,SC3400,bekaert,31199/01565
1106,20795,966155516,2023-01-25 16:03:00,2023-01-25 18:04:00,826,PLINE300,4234058,SC3400,takaha90,31199/01988
1108,20891,964687993,2023-01-20 10:36:00,2023-01-20 13:24:00,827,PLINE300,4233679,TEL_LEAGA,muraki29,32005/01675
1109,20891,965812853,2023-01-24 14:39:00,2023-01-25 11:32:00,828,PLINE300,4234183,TEL_LEAGA,puttar77,32005/01675
1111,21029,965761444,2023-01-24 11:35:00,2023-01-24 12:42:00,829,PLINE300,4234791,NOKOTA,mudige97,31399/31519
1112,21029,966098042,2023-01-25 12:52:00,2023-01-25 13:47:00,830,PLINE300,4234793,NOKOTA,mudige97,31399/31519
1115,21339,965492574,2023-01-23 16:02:00,2023-01-23 18:30:00,831,PLINE300,4234176,SC2000,verstr99,31199/00650
1117,21501,959982380,2023-03-01 15:08:00,2023-03-01 16:20:00,832,PLINE300,4220181,LAM_E6_2,li99,38199/01715
1118,21501,962361004,2023-12-01 15:20:00,2023-12-01 16:50:00,833,PLINE300,4231365,LAM_E6_2,li99,38199/01715
1119,21501,963667437,2023-01-17 10:26:00,2023-01-17 11:29:00,834,PLINE300,4231736,LAM_E6_2,kundu43,31299/02062
1121,21671,960443430,2023-05-01 10:33:00,2023-05-01 11:29:00,835,PLINE300,4228651,TRDUOS,hillen84,31199/01680
1122,21671,960506927,2023-05-01 14:12:00,2023-05-01 15:19:00,836,PLINE300,4228726,TRDUOS,thomas96,31199/01513
1123,21671,963403901,2023-01-16 15:05:00,2023-01-16 16:46:00,837,PLINE300,4232052,TRDUOS,hillen84,31199/01680
1124,21671,964392856,2023-01-19 13:39:00,2023-01-19 14:22:00,838,PLINE300,4233409,TRDUOS,hillen84,31199/01680
1125,21671,965477125,2023-01-23 15:15:00,2023-01-23 19:31:00,839,PLINE300,4234140,TRDUOS,thomas96,31199/01513
1126,21671,965779496,2023-01-24 13:02:00,2023-01-24 13:46:00,840,PLINE300,4234850,TRDUOS,hillen84,31199/01680
1127,21934,959981047,2023-03-01 15:02:00,2023-03-01 18:25:00,841,PLINE300,4220103,PROVISION2E,janard53,38199/00432
1128,21934,960263407,2023-04-01 15:33:00,2023-04-01 17:21:00,842,PLINE300,4220174,PROVISION2E,beggia74,31199/00653
1131,21934,963419967,2023-01-16 15:51:00,2023-01-16 16:39:00,843,PLINE300,4232520,PROVISION2E,stiersk,38199/01951
1132,21934,963645243,2023-01-17 08:57:00,2023-01-17 09:41:00,844,PLINE300,4232612,PROVISION2E,stiersk,38199/01951
1134,21934,965385488,2023-01-23 09:53:00,2023-01-23 11:25:00,845,PLINE300,4234197,PROVISION2E,stiersk,38199/01951
1136,22450,959696395,2023-02-01 15:13:00,2023-02-01 16:18:00,846,PLINE300,4209279,NXWAFER,nong52,36003/01224
1137,22450,959869050,2023-03-01 08:55:00,2023-03-01 10:30:00,847,PLINE300,4220119,NXWAFER,vbelle62,36003/01224
1138,22450,964177505,2023-01-18 20:23:00,2023-01-18 20:44:00,848,PLINE300,4233411,NXWAFER,nong52,36003/01224
1139,22450,964798906,2023-01-20 15:51:00,2023-01-20 19:37:00,849,PLINE300,4234085,NXWAFER,nong52,36003/01224
1140,22450,965065303,2023-01-21 13:10:00,2023-01-21 18:03:00,850,PLINE300,4234241,NXWAFER,nong52,36003/01224
1143,22978,960814343,2023-06-01 14:30:00,2023-06-01 14:45:00,851,PLINE300,4228667,F_REX300X_2,sugawa19,31399/01183
1146,22978,963714872,2023-01-17 13:42:00,2023-01-17 18:25:00,852,PLINE300,4232670,F_REX300X_2,pittev,32299/01809
1147,22978,964003693,2023-01-18 10:35:00,2023-01-18 12:03:00,853,PLINE300,N/a,F_REX300X_2,sugawa19,31399/01183
1148,22978,964068112,2023-01-18 14:30:00,2023-01-18 20:28:00,854,PLINE300,4233102,F_REX300X_2,pittev,38199/37834
1149,22978,964314568,2023-01-19 09:42:00,2023-01-19 10:36:00,855,PLINE300,N/a,F_REX300X_2,sugawa19,31399/01183
1150,22978,964663470,2023-01-20 09:32:00,2023-01-20 11:29:00,856,PLINE300,N/a,F_REX300X_2,sugawa19,31399/01183
1151,22978,965384389,2023-01-23 09:48:00,2023-01-23 11:46:00,857,PLINE300,N/a,F_REX300X_2,sugawa19,31399/01183
1152,23002,962699378,2023-01-13 15:20:00,2023-01-13 16:55:00,858,PLINE200,4231570,CS4800,moelants,31199/01413
1153,23002,962792199,2023-01-13 19:51:00,2023-01-13 21:27:00,859,PLINE200,4230840,CS4800,moelants,97401/01775
1154,23002,963252681,2023-01-16 07:00:00,2023-01-16 08:10:00,860,PLINE200,4231661,CS4800,moelants,37037/02055
1158,23227,962049366,2023-11-01 15:26:00,2023-11-01 18:27:00,861,PLINE200,4230980,UVO,grosem77,37004/01459
1159,23981,962723012,2023-01-13 16:21:00,2023-01-13 17:43:00,862,PLINE300,4230182,FTIR_2,kenis,32005/01717
1160,23981,964679641,2023-01-20 10:18:00,2023-01-20 11:33:00,863,PLINE300,4233412,FTIR_2,arvind29,31199/02271
1162,23988,962659559,2023-01-13 13:22:00,2023-01-13 17:39:00,864,PLINE300,N/a,2830ZT,peissk91,31499/00379
1163,23988,963412413,2023-01-16 15:28:00,2023-01-16 16:11:00,865,PLINE300,4232441,2830ZT,kramac15,30990/32063
1166,24044,960399678,2023-05-01 06:58:00,2023-05-01 06:59:00,866,PLINE300,4228739,EXTREME_2,goovae19,31199/01617
1167,24044,960400151,2023-05-01 07:00:00,2023-05-01 10:06:00,867,PLINE300,N/a,EXTREME_2,goovae19,36003/36502
1168,24044,960509151,2023-05-01 14:19:00,2023-05-01 16:00:00,868,PLINE300,4220282,EXTREME_2,martel37,37013/01883
1169,24044,961264804,2023-09-01 07:13:00,2023-09-01 09:50:00,869,PLINE300,4229265,EXTREME_2,gomezg80,39424/01225
1170,24044,962278231,2023-12-01 10:19:00,2023-12-01 13:29:00,870,PLINE300,4231330,EXTREME_2,gomezg80,39424/01903
1171,24044,962605763,2023-01-13 10:23:00,2023-01-13 12:34:00,871,PLINE300,4231471,EXTREME_2,martel37,37013/01883
1172,24044,963247762,2023-01-16 05:58:00,2023-01-16 09:46:00,872,PLINE300,4231730,EXTREME_2,goovae19,31199/01918
1173,24044,963302774,2023-01-16 10:02:00,2023-01-16 12:06:00,873,PLINE300,4231425,EXTREME_2,pasqua16,31499/01951
1174,24044,963970807,2023-01-18 07:40:00,2023-01-18 08:47:00,874,PLINE300,4233151,EXTREME_2,gomezg80,39424/01225
1175,24044,963979263,2023-01-18 08:48:00,2023-01-18 11:51:00,875,PLINE300,4232436,EXTREME_2,goovae19,31199/01876
1176,24044,964044467,2023-01-18 13:12:00,2023-01-18 14:41:00,876,PLINE300,4233074,EXTREME_2,pasqua16,31499/01951
1177,24044,965710336,2023-01-24 08:57:00,2023-01-24 11:13:00,877,PLINE300,4234459,EXTREME_2,pasqua16,39424/01221
1178,24044,966150406,2023-01-25 15:48:00,2023-01-25 18:38:00,878,PLINE300,4235521,EXTREME_2,gomezg80,39424/01903
1182,24370,963269143,2023-01-16 08:17:00,2023-01-17 08:02:00,879,PLINE300,N/a,HYBRID_BONDER,kennes63,31012/01084
1183,24493,960581679,2023-05-01 18:07:00,2023-05-01 18:27:00,880,PLINE300,4228743,DVPRIME_1,huang72,31199/01918
1184,24493,962014488,2023-11-01 13:27:00,2023-11-01 15:44:00,881,PLINE300,4230763,DVPRIME_1,lai86,32299/00588
1186,24493,963780056,2023-01-17 16:54:00,2023-01-17 17:25:00,882,PLINE300,4232657,DVPRIME_1,huang72,31199/01617
1188,24493,964658331,2023-01-20 08:59:00,2023-01-20 16:38:00,883,PLINE300,4233441,DVPRIME_1,lai86,37092/02174
1189,24493,965371432,2023-01-23 09:00:00,2023-01-23 16:40:00,884,PLINE300,4234126,DVPRIME_1,lai86,37092/02174
1190,24652,963772439,2023-01-17 16:33:00,2023-01-17 19:58:00,885,PLINE300,4232039,TRPROAP,uruena10,32299/00013
1191,24652,964790145,2023-01-20 15:21:00,2023-01-20 16:09:00,886,PLINE300,4233766,TRPROAP,uruena10,32299/00013
