CSIM_TIMESTAMP,Area,DEL_FLAG,ENT_NAME,FACILITY,ROW_ID
2022-10-22 12:51:14,Area/ELMIC/Metrology/Inspections,N,MC10,PLINE300,20555
2022-10-24 12:47:18,Area/ILIME/Metrology/Inspections,N,MIC_NIKON_2,PLINE200,4432
2022-10-25 23:38:11,Area/WBA/Assembly/FlipChip,N,PVAT_PLASMA,PLINE200,9688
2022-10-26 22:40:19,Area/WBA/Assembly/FlipChip,N,CHAMEO_UP,PLINE200,25772
2022-10-26 22:53:08,Area/Litho/Misc/Misc,N,MAN_SPIN,PLINE200,5184
2022-10-26 23:04:12,Area/Litho/Misc/Misc,N,OPTIHOT_HB_30,PLINE200,6971
2022-10-27 18:03:31,Area/WBA/Assembly/FlipChip,N,DIEPICKPLACE,PLINE200,5803
2022-10-27 21:09:25,Area/ELMIC/Metrology/Inspections,N,PECS682,PLINE300,9626
2022-10-28 12:47:25,Area/ISE/Maintenance/Maintenance,N,SEALER_4,PLINE300,17127
2022-10-30 06:58:03,Area/WMCE/CarrierClean/CarrierClean,N,HTC8030_CF,PLINE200,4548
2022-11-02 09:19:20,Area/ISE/Maintenance/Maintenance,N,SEALER_1,PLINE300,7991
2022-11-02 21:54:30,Area/ELMIC/Metrology/Inspections,N,CRESSINGTON300,PLINE300,15006
2022-11-03 09:39:30,Area/ELMIC/Metrology/Inspections,N,APREO,PLINE200,22007
2022-11-03 17:10:53,Area/META/AMSI/MetrologyAMSI,N,SYSTEMIII,PLINE300,16686
2022-11-04 07:47:20,Area/WBA/Assembly/FlipChip,N,NANO,PLINE200,24485
2022-11-05 14:16:09,Area/WBA/Assembly/FlipChip,N,FC150,PLINE200,3722
2022-11-05 14:34:05,Area/Litho/Exposure/Scanner,N,SC3300,PLINE300,8175
2022-11-07 03:40:11,Area/ILIME/Metrology/Inspections,N,GS1000,PLINE300,22434
2022-11-07 16:12:10,Area/Litho/Exposure/Scanner,N,HAMATECH,PLINE300,22009
2022-11-08 21:54:57,Area/WBA/Assembly/Bonding,N,MOLDER,PLINE300,17187
2022-11-09 05:05:51,Area/ILIME/Metrology/Inspections,N,MICROS_OUT,PLINE200,13586
2022-11-09 14:43:55,Area/ILIME/Metrology/Inspections,N,MIC_AXIOTRON_2,PLINE200,5171
2022-11-09 17:43:59,Area/WMCE/FoupClean/FoupClean,N,FPCLEAN_2,PLINE300,2063
2022-11-09 18:21:08,Area/WMCE/FoupClean/FoupClean,N,FPCLEAN,PLINE300,80
2022-11-10 10:50:15,Area/ELMIC/Metrology/Inspections,N,XL30_CF,PLINE200,3975
2022-11-10 12:47:56,Area/DDDIFFUSION/Anneal/AnnealOven,N,VANTAGE,PLINE300,906
2022-11-10 22:30:56,Area/WBA/Assembly/Bonding,N,LAMINATOR_2,PLINE200,16306
2022-11-11 07:48:05,Area/DDALD/Deposition/ALD,N,XP4_1,PLINE300,21712
