fo_row_id,Datim,EVENT_ROW_ID,State
9574,09/01/2022 4:58,929402429,PARTLY_UP
14911,09/01/2022 5:04,929402988,PARTLY_UP
7776,09/01/2022 5:14,929403620,UP
3483,09/01/2022 5:16,929403818,UP
3937,09/01/2022 5:21,929404414,IDLE_ERROR
3978,09/01/2022 5:23,929404870,UP
6855,09/01/2022 5:27,929405272,UP
7353,09/01/2022 5:29,929405536,IN_MAINT
7353,09/01/2022 5:29,929405631,PARTLY_UP
7379,09/01/2022 5:34,929406225,SPC_TEST
2020,09/01/2022 5:38,929406784,SPC_TEST
6662,09/01/2022 5:40,929407087,UP
6663,09/01/2022 5:41,929407099,UP
4779,09/01/2022 5:41,929407134,IDLE_ERROR
4773,09/01/2022 5:41,929407137,PARTLY_UP
4611,09/01/2022 5:49,929408173,UP
22450,09/01/2022 5:52,929408554,IN_REPAIR
22450,09/01/2022 5:52,929408583,PARTLY_UP
22450,09/01/2022 5:52,929408656,IN_MAINT
3996,09/01/2022 5:55,929409125,SPC_TEST
3995,09/01/2022 5:55,929409129,SPC_TEST
3997,09/01/2022 5:56,929409178,SPC_TEST
3824,09/01/2022 5:56,929409186,SPC_TEST
4627,09/01/2022 6:00,929409362,SPC_TEST
1408,09/01/2022 6:02,929409572,PARTLY_UP
1413,09/01/2022 6:02,929409574,PARTLY_UP
10907,09/01/2022 6:07,929410038,UP
9006,09/01/2022 6:12,929410456,IN_MAINT
20579,09/01/2022 6:18,929410536,UP
4926,09/01/2022 6:21,929410689,RESERVED
6852,09/01/2022 6:26,929411250,IN_MAINT
4779,09/01/2022 6:27,929411286,IN_REPAIR
4779,09/01/2022 6:27,929411311,UP
4773,09/01/2022 6:27,929411315,UP
2020,09/01/2022 6:27,929411390,UP
10907,09/01/2022 6:31,929411756,RESERVED
20579,09/01/2022 6:31,929411822,RESERVED
4078,09/01/2022 6:35,929412479,SPC_TEST
3943,09/01/2022 6:35,929412485,SPC_TEST
3883,09/01/2022 6:37,929412580,SPC_TEST
3883,09/01/2022 6:37,929412691,UP
10994,09/01/2022 6:39,929413103,PARTLY_UP
23002,09/01/2022 6:42,929413469,IN_MAINT
23002,09/01/2022 6:42,929413505,UP
5463,09/01/2022 6:42,929413518,IN_MAINT
20749,09/01/2022 6:42,929413547,PARTLY_UP
5463,09/01/2022 6:42,929413589,SPC_TEST
5463,09/01/2022 6:44,929413927,PARTLY_UP
3829,09/01/2022 6:44,929413948,SPC_TEST
3829,09/01/2022 6:44,929414052,UP
1409,09/01/2022 6:46,929414373,SPC_TEST
20749,09/01/2022 6:47,929414730,SPC_TEST
4082,09/01/2022 6:48,929415062,IN_MAINT
3832,09/01/2022 6:48,929415066,IN_MAINT
4025,09/01/2022 6:48,929415078,SPC_TEST
4026,09/01/2022 6:49,929415246,SPC_TEST
1078,09/01/2022 6:50,929415352,SPC_TEST
4020,09/01/2022 6:50,929415388,SPC_TEST
3845,09/01/2022 6:50,929415392,SPC_TEST
6852,09/01/2022 6:51,929415443,UP
20373,09/01/2022 6:52,929415543,SPC_TEST
13169,09/01/2022 6:54,929415900,IN_MAINT
21757,09/01/2022 6:56,929416072,PARTLY_UP
1409,09/01/2022 6:56,929416167,UP
6664,09/01/2022 7:04,929417240,SPC_TEST
6665,09/01/2022 7:04,929417256,SPC_TEST
3830,09/01/2022 7:04,929417373,SPC_TEST
3828,09/01/2022 7:07,929417780,SPC_TEST
3828,09/01/2022 7:08,929417860,UP
9006,09/01/2022 7:09,929418033,UP
24493,09/01/2022 7:17,929419486,IN_REPAIR
9469,09/01/2022 7:24,929420501,SPC_TEST
21934,09/01/2022 7:27,929420733,UP
8487,09/01/2022 7:29,929421118,PARTLY_UP
3830,09/01/2022 7:31,929421307,UP
7674,09/01/2022 7:32,929421526,SPC_TEST
7389,09/01/2022 7:35,929422056,SPC_TEST
23652,09/01/2022 7:35,929422071,SPC_TEST
7380,09/01/2022 7:35,929422075,SPC_TEST
8847,09/01/2022 7:35,929422127,IN_REPAIR
6006,09/01/2022 7:37,929422392,UP
6004,09/01/2022 7:37,929422394,UP
8307,09/01/2022 7:42,929423052,SPC_TEST
23498,09/01/2022 7:43,929423121,UP
8312,09/01/2022 7:43,929423146,SPC_TEST
3823,09/01/2022 7:44,929423276,UP
3823,09/01/2022 7:44,929423278,SPC_TEST
3988,09/01/2022 7:44,929423291,UP
3823,09/01/2022 7:44,929423295,UP
4926,09/01/2022 7:44,929423357,UP
