Begin,End,Fab300_Res_id,FACILITY,ResTk,Tool,User_id,WBS
2022-11-03 14:34:11,2022-11-03 17:03:37,0,PLINE300,N/a,PRODUCER,gomezg80,39424/01222
2022-11-05 10:01:19,2022-11-05 14:10:07,1,PLINE300,N/a,PRODUCER,gomezg80,39424/01224
2022-11-06 08:54:17,2022-11-06 10:17:17,2,PLINE300,N/a,PRODUCER,gomezg80,39424/01222
2022-11-04 13:36:25,2022-11-04 22:03:01,3,PLINE300,4167542,REFLEXION_2,ceulem72,32102/01048
2022-11-14 14:03:15,2022-11-14 20:38:00,4,PLINE300,4169982,REFLEXION_2,ceulem72,37093/02175
2022-10-31 09:20:52,2022-10-31 18:07:22,5,PLINE300,4166939,METRIXL,kim19,32005/01299
2022-11-03 09:10:06,2022-11-03 17:39:53,6,PLINE300,4167592,METRIXL,kim19,32005/01299
2022-11-07 15:28:58,2022-11-07 17:53:42,7,PLINE300,4162658,DNS_4,vanbel53,31199/00650
2022-11-09 09:58:20,2022-11-09 13:40:29,8,PLINE300,4169252,DNS_4,stokhof,30990/02249
2022-11-03 15:16:34,2022-11-03 17:09:06,9,PLINE300,4167853,CELLESTA,lai86,39422/01221
2022-11-17 14:50:17,2022-11-17 19:59:21,10,PLINE300,4171338,SC1950,hofman72,31199/31147
2022-11-17 02:31:50,2022-11-17 22:42:23,11,PLINE300,N/a,H6300,schrauw,31199/02273
2022-11-03 15:58:31,2022-11-03 17:04:35,12,PLINE300,4167219,H6300,monter30,31299/31818
2022-11-04 09:02:04,2022-11-07 08:55:47,13,PLINE300,4167468,H6300,goovae19,31199/01617
2022-11-07 08:55:52,2022-11-07 10:52:27,14,PLINE300,4168475,H6300,goovae19,31199/00650
2022-11-14 08:20:55,2022-11-14 09:45:34,15,PLINE300,4170190,H6300,newman74,31199/01995
2022-10-31 16:48:50,2022-10-31 18:03:02,16,PLINE300,4166691,SC1000,wouter12,31199/30079
2022-11-01 10:14:39,2022-11-01 12:01:50,17,PLINE300,4155633,SC1000,le27,31199/30079
2022-11-02 07:58:10,2022-11-02 09:54:57,18,PLINE300,4155594,SC1000,lecocq91,31199/30079
2022-11-03 08:04:27,2022-11-03 09:49:31,19,PLINE300,4158403,SC1000,maessc90,31199/30079
2022-11-04 08:14:21,2022-11-04 09:54:52,20,PLINE300,4158401,SC1000,lecocq91,31199/30079
2022-11-15 09:50:17,2022-11-15 11:12:27,21,PLINE300,4168302,SC1000,lecocq91,31199/30079
2022-11-16 08:02:19,2022-11-16 09:03:29,22,PLINE300,4169286,SC1000,lecocq91,31199/30079
2022-11-17 08:05:04,2022-11-17 09:47:24,23,PLINE300,4169288,SC1000,lecocq91,31199/30079
2022-11-17 14:49:37,2022-11-17 15:43:43,24,PLINE300,4169579,SC1000,hofman72,31199/01706
2022-11-06 08:55:34,2022-11-06 10:57:16,25,PLINE300,4168643,SC1000,le27,31199/30079
2022-11-08 08:12:05,2022-11-08 08:28:47,26,PLINE300,4167928,SC1000,jacobs41,31199/01513
2022-11-09 08:13:56,2022-11-09 09:53:46,27,PLINE300,4167137,SC1000,maessc90,31199/30079
2022-11-10 07:58:56,2022-11-10 10:25:24,28,PLINE300,4167671,SC1000,maessc90,31199/30079
2022-11-10 17:01:16,2022-11-10 18:40:10,29,PLINE300,4168300,SC1000,wouter12,31199/30079
2022-11-14 08:58:11,2022-11-14 09:53:05,30,PLINE300,4169284,SC1000,lecocq91,31199/30079
2022-11-10 10:13:20,2022-11-10 16:19:32,31,PLINE300,N/a,REFLEXION,heylen,31399/00055
2022-11-05 18:49:08,2022-11-05 21:11:48,32,PLINE300,4167782,REFLEXION,raymaek,31399/00039
2022-11-10 10:12:41,2022-11-10 10:13:03,33,PLINE300,4169517,REFLEXION,heylen,31399/00039
2022-11-14 07:10:47,2022-11-14 09:12:45,34,PLINE300,4170258,REFLEXION,raymaek,31399/00039
2022-11-15 13:04:10,2022-11-15 17:16:39,35,PLINE300,N/a,ENDURA_3,dekkers,31499/01284
2022-11-16 17:00:07,2022-11-16 18:20:56,36,PLINE300,N/a,ENDURA_3,dekkers,31499/01284
2022-11-09 07:49:52,2022-11-09 10:01:44,37,PLINE300,4168758,ENDURA_3,wellens,32299/01899
2022-10-31 15:10:16,2022-10-31 21:36:37,38,PLINE300,4167312,NX3DM,vbelle62,36003/01224
2022-11-03 17:22:39,2022-11-03 21:39:36,39,PLINE300,4167857,NX3DM,vbelle62,36003/01224
2022-11-05 11:37:42,2022-11-05 14:01:40,40,PLINE300,4168192,NX3DM,vbelle62,36003/01224
2022-11-06 11:32:27,2022-11-06 16:44:06,41,PLINE300,4168637,NX3DM,vbelle62,36003/01224
2022-11-09 15:12:46,2022-11-09 16:51:35,42,PLINE300,4169757,NX3DM,vbelle62,36003/01224
2022-11-16 15:30:47,2022-11-16 20:23:52,43,PLINE300,N/a,METRIOS,gade18,39320/36502
2022-11-17 18:00:22,2022-11-17 20:53:39,44,PLINE300,N/a,METRIOS,lookma25,39320/36502
2022-11-02 10:49:34,2022-11-02 14:02:08,45,PLINE300,N/a,METRIOS,gade18,39320/36502
2022-11-03 06:46:06,2022-11-03 09:56:35,46,PLINE300,N/a,METRIOS,gade18,39320/36502
2022-11-04 07:10:07,2022-11-04 08:54:32,47,PLINE300,N/a,METRIOS,gade18,39320/36502
2022-11-15 13:52:30,2022-11-15 18:07:46,48,PLINE300,N/a,METRIOS,martin29,42199/00160
2022-11-17 14:01:40,2022-11-17 17:50:11,49,PLINE300,N/a,METRIOS,martin29,42199/00160
2022-10-31 15:48:39,2022-10-31 17:29:57,50,PLINE300,N/a,METRIOS,martin29,42199/00160
2022-11-02 14:27:16,2022-11-02 18:19:46,51,PLINE300,N/a,METRIOS,martin29,42199/00160
2022-11-03 14:10:31,2022-11-03 18:10:29,52,PLINE300,N/a,METRIOS,martin29,42199/00160
2022-11-08 14:57:51,2022-11-08 18:28:43,53,PLINE300,N/a,METRIOS,martin29,42199/00160
2022-11-09 13:56:00,2022-11-09 18:33:48,54,PLINE300,N/a,METRIOS,martin29,42199/00160
2022-11-07 09:48:27,2022-11-15 14:22:00,55,PLINE300,4166538,HELIOS_G5,drijboom,42199/00160
2022-11-15 12:01:51,2022-11-15 15:03:04,56,PLINE300,4170474,LEVITOR4300,homkar65,30990/32063
2022-11-15 07:05:29,2022-11-15 12:21:26,57,PLINE200,N/a,ENDURA_BAR,bangel19,39422/01225
2022-11-16 07:41:12,2022-11-16 12:45:35,58,PLINE200,N/a,ENDURA_BAR,bangel19,39422/01225
2022-11-09 14:45:39,2022-11-09 22:00:36,59,PLINE200,N/a,ENDURA_BAR,bangel19,39422/01221
2022-11-09 08:51:50,2022-11-09 09:55:05,60,PLINE300,4169467,REFLEXION_4,kenens78,31199/00653
2022-11-10 06:33:14,2022-11-10 10:00:51,61,PLINE300,4170009,REFLEXION_4,pittev,38199/01284
2022-11-17 08:47:13,2022-11-17 16:28:11,62,PLINE300,4171178,REFLEXION_4,kenens78,98850/02081
2022-11-02 18:13:30,2022-11-02 19:27:03,63,PLINE300,4167011,TR3300,furuka28,31199/01514
2022-11-07 08:26:43,2022-11-07 10:41:39,64,PLINE300,4167400,TR3300,wouter12,31199/30079
2022-11-05 09:56:09,2022-11-05 11:21:58,65,PLINE200,4168287,FUSIONBONDER,han41,36671/01224
2022-11-10 07:50:28,2022-11-10 11:27:19,66,PLINE300,4170026,CIRCL,gompou79,36003/36503
2022-11-14 20:08:54,2022-11-14 22:00:00,67,PLINE300,4170735,CIRCL,gompou79,36003/36503
2022-11-15 15:21:04,2022-11-15 17:43:27,68,PLINE300,4171066,CIRCL,gompou79,36003/36503
2022-11-15 20:10:12,2022-11-15 21:51:40,69,PLINE300,4171073,CIRCL,gompou79,36003/36503
2022-11-16 08:21:16,2022-11-16 08:33:03,70,PLINE300,4171172,CIRCL,beirnaer,32299/00013
2022-10-31 13:48:01,2022-10-31 14:54:03,71,PLINE300,4167191,CIRCL,stiersk,36003/36503
2022-11-02 16:40:14,2022-11-02 21:50:03,72,PLINE300,4167415,CIRCL,gompou79,36003/36503
2022-11-03 20:00:02,2022-11-03 22:03:07,73,PLINE300,4168187,CIRCL,gompou79,36003/36503
2022-11-04 10:38:10,2022-11-04 12:29:01,74,PLINE300,4168262,CIRCL,vdweeg61,32299/00352
2022-10-31 09:36:24,2022-10-31 16:38:17,75,PLINE300,4156158,TITAN,richardo,42199/00160
2022-11-10 16:56:50,2022-11-10 19:38:18,76,PLINE300,4170101,TITAN,impagn97,42199/00160
2022-11-15 16:05:59,2022-11-15 20:43:23,77,PLINE300,4170600,TITAN,impagn97,42199/00160
2022-11-01 02:32:06,2022-11-01 05:54:08,78,PLINE300,N/a,HELIOS1200,vrebos45,39320/36502
2022-11-01 21:58:19,2022-11-02 01:40:04,79,PLINE300,N/a,HELIOS1200,derudd92,39320/36502
2022-11-02 06:47:20,2022-11-02 09:18:16,80,PLINE300,N/a,HELIOS1200,sainch77,39320/36502
2022-11-02 10:15:11,2022-11-02 14:07:11,81,PLINE300,N/a,HELIOS1200,michal78,39320/36502
2022-11-02 14:08:02,2022-11-02 17:12:41,82,PLINE300,N/a,HELIOS1200,pavlov38,39320/36502
2022-11-02 22:05:19,2022-11-03 01:42:51,83,PLINE300,N/a,HELIOS1200,derudd92,39320/36502
2022-11-02 09:22:56,2022-11-02 10:05:58,84,PLINE300,4167497,HELIOS1200,dangol,38199/00881
2022-11-03 07:58:15,2022-11-03 09:50:38,85,PLINE300,4167008,HELIOS1200,beirnaer,38199/01490
2022-11-10 17:22:02,2022-11-10 21:40:57,86,PLINE300,4168874,HELIOS1200,peeter11,38199/01490
2022-11-15 10:02:35,2022-11-15 11:47:02,87,PLINE300,4169604,HELIOS1200,vrancken,37092/02172
2022-11-17 19:09:14,2022-11-17 22:04:48,88,PLINE300,N/a,HELIOS1200,vrebos45,39320/36502
2022-11-02 20:10:47,2022-11-02 21:39:51,89,PLINE300,N/a,HELIOS1200,verhoevj,36003/36503
2022-11-04 16:31:09,2022-11-04 17:24:42,90,PLINE300,N/a,HELIOS1200,claeseng,38199/01951
2022-11-05 06:45:41,2022-11-05 12:48:08,91,PLINE300,N/a,HELIOS1200,verhoevj,36003/36503
