Cluster,Description,Fab300_Begin,Fab300_End,Fab300_Res_id,Fab300_User_id,FACILITY,IIO_Begin,IIO_End,IIO_Res_id,IIO_User_id,Modules,Tool,WBS
3,recipe,2022-11-16 09:09:34,2022-11-16 11:07:27,287,chowri97,PLINE300,2022-11-16 09:00:00,2022-11-16 11:00:00,470,chowri97,"",KLA2925,31199/01988
3,sem,2022-11-07 09:58:00,2022-11-07 12:11:44,248,beirnaer,PLINE300,2022-11-07 08:00:00,2022-11-07 12:00:00,217,dvriendt;beirnaer,"",SEMVISION,32299/00013
3,TBM development,2022-11-16 14:50:58,2022-11-16 15:28:00,453,jedidi64,PLINE200,2022-11-16 13:00:00,2022-11-16 16:00:00,1049,patil20,"",TEMP_BONDER,36671/01224
3,test,2022-11-03 08:04:27,2022-11-03 09:49:31,19,maessc90,PLINE300,2022-11-03 08:00:00,2022-11-03 10:00:00,486,dilien72,"",SC1000,31199/30079
3,test,2022-11-04 08:14:12,2022-11-04 09:54:43,134,lecocq91,PLINE300,2022-11-04 08:00:00,2022-11-04 10:00:00,525,dilien72,"",TR1000,31199/30079
3,test,2022-11-16 11:56:12,2022-11-16 13:48:31,367,cloost23,PLINE300,2022-11-16 12:00:00,2022-11-16 14:00:00,942,cloost23,"",H5000_2,31199/30079
3,thick SiN,2022-11-03 12:23:11,2022-11-03 13:06:30,322,marian80,PLINE300,2022-11-03 12:00:00,2022-11-03 13:00:00,398,marian80,"",SCD100,30990/32063
4,devinp,2022-11-09 15:12:46,2022-11-09 16:51:35,42,vbelle62,PLINE300,2022-11-09 15:00:00,2022-11-09 17:00:00,246,vbelle62,"",NX3DM,36003/01224
4,Devinps,2022-11-10 07:50:28,2022-11-10 11:27:19,66,gompou79,PLINE300,2022-11-10 07:00:00,2022-11-10 11:00:00,1136,gompou79,LP1;LP2;LP3;PM1;PM2;PM3,CIRCL,36003/36503
4,JSR slot,2022-11-06 13:00:53,2022-11-06 14:33:46,135,le27,PLINE300,2022-11-06 13:00:00,2022-11-06 15:00:00,528,robber85,"",TR1000,31199/30079
4,sem,2022-11-08 16:59:43,2022-11-08 18:32:28,252,beirnaer,PLINE300,2022-11-08 17:00:00,2022-11-08 18:30:00,219,beirnaer,"",SEMVISION,32299/00013
4,test,2022-11-04 08:14:21,2022-11-04 09:54:52,20,lecocq91,PLINE300,2022-11-04 08:00:00,2022-11-04 10:00:00,488,dilien72,"",SC1000,31199/30079
5,CRAS coupon iterations,2022-11-08 16:03:17,2022-11-08 17:11:00,488,choudh58,PLINE300,2022-11-08 16:00:00,2022-11-08 17:00:00,1351,choudh58,LP2;PM6,LAM_E6,98850/02081
5,Devinps,2022-11-14 20:08:54,2022-11-14 22:00:00,67,gompou79,PLINE300,2022-11-14 19:30:00,2022-11-14 22:00:00,1139,gompou79,LP1;LP2;LP3;PM1;PM2;PM3,CIRCL,36003/36503
5,JSR slot,2022-11-06 08:55:34,2022-11-06 10:57:16,25,le27,PLINE300,2022-11-06 08:00:00,2022-11-06 10:00:00,490,robber85,"",SC1000,31199/30079
5,sem,2022-11-09 10:12:48,2022-11-09 12:10:46,243,dvriendt,PLINE300,2022-11-09 10:00:00,2022-11-09 12:00:00,220,dvriendt,"",SEMVISION,32299/00013
5,test,2022-11-10 07:58:29,2022-11-10 10:25:33,137,maessc90,PLINE300,2022-11-10 08:00:00,2022-11-10 10:00:00,533,cloost23,"",TR1000,31199/30079
6,CRAS APF Coupon iteration,2022-11-15 16:00:50,2022-11-15 18:13:24,491,choudh58,PLINE300,2022-11-15 16:00:00,2022-11-15 17:00:00,1353,choudh58,LP2;PM6,LAM_E6,98850/02081
6,Devinps,2022-11-15 15:21:04,2022-11-15 17:43:27,68,gompou79,PLINE300,2022-11-15 14:00:00,2022-11-15 18:00:00,1140,gompou79,LP1;LP2;LP3;PM1;PM2;PM3,CIRCL,36003/36503
