Begin,Description,End,FACILITY,Module,RES_TK,Tool,User_id,WBS
2022-11-16 12:00:00,MAZO w/ H2O process development,2022-11-16 13:00:00,PLINE300,"",4170693,F5_SCD,pavel13,31499/01284
2022-11-17 20:30:00,MAZO w/ H2O process recipe dev,2022-11-17 22:00:00,PLINE300,"",4172032,2830ZT,pavel13,31499/01284
2022-11-16 21:00:00,MAZO w/ H2O process recipe devel,2022-11-17 00:00:00,PLINE300,LP1,4171226,XP4_4,pavel13,31499/01284
2022-11-16 21:00:00,MAZO w/ H2O process recipe devel,2022-11-17 00:00:00,PLINE300,PM1,4171227,XP4_4,pavel13,31499/01284
2022-11-17 00:00:00,MAZO w/ H2O process recipe devel,2022-11-17 08:30:00,PLINE300,LP1,4171228,XP4_4,pavel13,31499/01284
2022-11-17 00:00:00,MAZO w/ H2O process recipe devel,2022-11-17 08:30:00,PLINE300,PM1,4171229,XP4_4,pavel13,31499/01284
2022-11-17 12:00:00,MAZO w/ H2O process recipe devel,2022-11-17 13:00:00,PLINE300,"",4171231,F5_SCD,pavel13,31499/01284
2022-11-17 12:30:00,MAZO w/ H2O process recipe devel,2022-11-17 14:30:00,PLINE300,"",4171230,2830ZT,pavel13,31499/01284
2022-10-31 11:30:00,MAZO w/ H2O recipe development,2022-10-31 13:00:00,PLINE300,"",4167143,2830ZT,pavel13,31499/01284
2022-10-31 12:00:00,MAZO w/ H2O recipe development,2022-10-31 13:00:00,PLINE300,"",4167145,F5_SCD,pavel13,31499/01284
2022-10-31 13:00:00,MAZO w/ H2O recipe development,2022-10-31 20:00:00,PLINE300,LP1,4167270,XP4_4,pavel13,31499/01284
2022-10-31 13:00:00,MAZO w/ H2O recipe development,2022-10-31 20:00:00,PLINE300,PM1,4167271,XP4_4,pavel13,31499/01284
2022-11-03 14:00:00,MAZO with H2O process and recipe,2022-11-03 15:00:00,PLINE300,"",4167820,F5_SCD,pavel13,31499/01284
2022-11-03 15:00:00,MAZO with H2O process and recipe,2022-11-03 16:00:00,PLINE300,"",4167819,2830ZT,pavel13,31499/01284
2022-11-03 22:00:00,MAZO with H2O process and recipe,2022-11-04 00:00:00,PLINE300,LP1,4168098,XP4_4,pavel13,31499/01284
2022-11-03 22:00:00,MAZO with H2O process and recipe,2022-11-04 00:00:00,PLINE300,PM1,4168099,XP4_4,pavel13,31499/01284
2022-11-04 00:00:00,MAZO with H2O process and recipe,2022-11-04 08:00:00,PLINE300,LP1,4168100,XP4_4,pavel13,31499/01284
2022-11-04 00:00:00,MAZO with H2O process and recipe,2022-11-04 08:00:00,PLINE300,PM1,4168101,XP4_4,pavel13,31499/01284
2022-11-04 09:30:00,MAZO with H2O process and recipe,2022-11-04 11:00:00,PLINE300,"",4168110,2830ZT,pavel13,31499/01284
2022-11-04 10:00:00,MAZO with H2O process and recipe,2022-11-04 10:30:00,PLINE300,"",4168113,F5_SCD,pavel13,31499/01284
2022-11-04 22:00:00,MAZO with H2O process and recipe,2022-11-05 00:00:00,PLINE300,LP1,4168116,XP4_4,pavel13,31499/01284
2022-11-04 22:00:00,MAZO with H2O process and recipe,2022-11-05 00:00:00,PLINE300,PM1,4168117,XP4_4,pavel13,31499/01284
2022-11-05 00:00:00,MAZO with H2O process and recipe,2022-11-05 09:30:00,PLINE300,LP1,4168118,XP4_4,pavel13,31499/01284
2022-11-05 00:00:00,MAZO with H2O process and recipe,2022-11-05 09:30:00,PLINE300,PM1,4168119,XP4_4,pavel13,31499/01284
2022-11-14 09:00:00,MAZO(H2O)nprocess deveop,2022-11-14 14:00:00,PLINE300,LP1,4170551,XP4_4,thukka30,30990/32063
2022-11-14 09:00:00,MAZO(H2O)nprocess deveop,2022-11-14 14:00:00,PLINE300,PM1,4170552,XP4_4,thukka30,30990/32063
2022-11-01 11:00:00,meas,2022-11-01 14:00:00,PLINE300,"",4167063,H6300,oka40,31199/30117
2022-11-01 14:00:00,meas,2022-11-01 15:30:00,PLINE300,"",4167409,H6300,oka40,31199/30117
2022-11-01 15:30:00,meas,2022-11-01 19:00:00,PLINE300,"",4167348,H6300,dauend87,98600/00962
2022-11-02 09:00:00,meas,2022-11-02 11:00:00,PLINE300,"",4166370,KLA2925,chowri97,31199/01988
2022-11-02 18:00:00,meas,2022-11-02 19:00:00,PLINE300,"",4167456,H5000_2,popesc83,31199/01897
2022-11-03 08:00:00,meas,2022-11-03 09:00:00,PLINE300,"",4167821,H6300_2,popesc83,31199/01897
2022-11-03 17:00:00,meas,2022-11-03 18:00:00,PLINE300,"",4167473,H6300,oka40,31199/30117
2022-11-03 17:00:00,meas,2022-11-03 18:30:00,PLINE300,PM,4167715,EDR7100,chowri97,31199/01988
2022-11-03 18:00:00,meas,2022-11-04 00:00:00,PLINE300,"",4167466,H5000_2,kato15,31199/30117
2022-11-03 18:30:00,meas,2022-11-03 19:00:00,PLINE300,PM,4168145,EDR7100,chowri97,31199/01988
2022-11-04 00:00:00,meas,2022-11-04 03:00:00,PLINE300,"",4167467,H5000_2,kato15,31199/30117
2022-11-04 09:00:00,meas,2022-11-04 15:30:00,PLINE300,"",4168047,GS1000,chowri97,31199/01988
2022-11-04 10:00:00,meas,2022-11-04 10:30:00,PLINE300,"",4168271,H6300_2,baerts,31199/00653
