,Facility,Tool,Datim,State,State_SC,State_TR,id,Duration,BeginEndFlag
126,PLINE300,REFLEXION,2023-01-08 21:49:00,UP,,,300.0,8.183333333333334,Begin
1990,PLINE300,REFLEXION,2023-01-12 06:32:00,UP,,,1990.0,1.3833333333333333,Begin
291,PLINE300,PRODUCER_2,2023-01-03 10:00:00,UP,,,291.0,1.5,Begin
292,PLINE300,PRODUCER_2,2023-01-09 17:00:00,UP,,,292.0,4.0,Begin
293,PLINE300,PRODUCER_2,2023-01-15 07:30:00,UP,,,293.0,4.05,Begin
1991,PLINE300,ENDURA_2,2023-01-13 08:18:00,UP,,,1991.0,2.0833333333333335,Begin
1992,PLINE300,ENDURA_2,2023-01-19 07:27:00,UP,,,1992.0,6.483333333333333,Begin
1993,PLINE300,ENDURA_2,2023-01-20 07:39:00,UP,,,1993.0,3.066666666666667,Begin
1648,PLINE300,REFLEXION_2,2023-01-05 14:00:00,DOWN,,,1648.0,8.0,Begin
151,PLINE300,REFLEXION_2,2023-01-05 14:57:00,UP,,,1648.0,8.0,Begin
1649,PLINE300,REFLEXION_2,2023-01-06 14:00:00,UP,,,1649.0,8.0,Begin
305,PLINE300,REFLEXION_2,2023-01-09 09:00:00,UP,,,305.0,8.0,Begin
301,PLINE300,REFLEXION_2,2023-01-11 06:00:00,UP,,,301.0,8.0,Begin
158,PLINE300,REFLEXION_2,2023-01-11 12:48:00,DOWN,,,301.0,8.0,Begin
302,PLINE300,REFLEXION_2,2023-01-12 06:00:00,UP,,,302.0,8.0,Begin
160,PLINE300,REFLEXION_2,2023-01-12 13:47:00,DOWN,,,302.0,8.0,Begin
306,PLINE300,REFLEXION_2,2023-01-13 10:45:00,UP,,,306.0,5.25,Begin
311,PLINE300,REFLEXION_2,2023-01-16 21:50:00,UP,,,311.0,6.45,Begin
1651,PLINE300,REFLEXION_2,2023-01-17 02:00:00,UP,,,1651.0,4.0,Begin
308,PLINE300,REFLEXION_2,2023-01-17 09:30:00,UP,,,308.0,7.0,Begin
303,PLINE300,REFLEXION_2,2023-01-17 22:00:00,UP,,,303.0,8.0,Begin
310,PLINE300,REFLEXION_2,2023-01-18 22:00:00,UP,,,310.0,6.0,Begin
170,PLINE300,REFLEXION_2,2023-01-19 02:07:00,DOWN,,,310.0,6.0,Begin
171,PLINE300,REFLEXION_2,2023-01-19 02:54:00,UP,,,310.0,6.0,Begin
304,PLINE300,REFLEXION_2,2023-01-19 22:00:00,UP,,,304.0,8.0,Begin
309,PLINE300,REFLEXION_2,2023-01-20 09:00:00,UP,,,309.0,7.5,Begin
174,PLINE300,REFLEXION_2,2023-01-20 16:29:00,DOWN,,,309.0,7.5,Begin
307,PLINE300,REFLEXION_2,2023-01-24 12:59:00,UP,,,307.0,3.55,Begin
1647,PLINE300,REFLEXION_2,2023-01-25 13:00:00,UP,,,1647.0,6.0,Begin
180,PLINE300,REFLEXION_2,2023-01-25 14:04:00,DOWN,,,1647.0,6.0,Begin
181,PLINE300,REFLEXION_2,2023-01-25 15:45:00,UP,,,1647.0,6.0,Begin
182,PLINE300,REFLEXION_2,2023-01-25 16:20:00,DOWN,,,1647.0,6.0,Begin
1650,PLINE300,REFLEXION_2,2023-01-26 09:30:00,UP,,,1650.0,6.5,Begin
281,PLINE300,OPTIMA,2023-01-25 10:49:00,UP,,,281.0,1.1833333333333333,Begin
1418,PLINE300,HITACHI9380,2023-01-03 13:30:00,UP,,,1418.0,1.5,Begin
1419,PLINE300,HITACHI9380,2023-01-04 14:00:00,UP,,,1419.0,1.0,Begin
1420,PLINE300,HITACHI9380,2023-01-06 13:00:00,UP,,,1420.0,2.0,Begin
1421,PLINE300,HITACHI9380,2023-01-09 13:00:00,UP,,,1421.0,2.0,Begin
1422,PLINE300,HITACHI9380,2023-01-16 13:30:00,UP,,,1422.0,1.0,Begin
1423,PLINE300,HITACHI9380,2023-01-17 13:00:00,UP,,,1423.0,2.0,Begin
195,PLINE300,HITACHI9380,2023-01-18 14:00:00,UP,,,195.0,2.0,Begin
1727,PLINE300,SEZ304_2,2023-01-10 15:00:00,UP,,,1727.0,1.5,Begin
1728,PLINE300,SEZ304_2,2023-01-11 10:30:00,UP,,,1728.0,1.0,Begin
369,PLINE300,SEZ304_2,2023-01-13 10:00:00,UP,,,369.0,0.6833333333333333,Begin
1730,PLINE300,SEZ304_2,2023-01-19 10:30:00,UP,,,1730.0,1.5,Begin
367,PLINE300,SEZ304_2,2023-01-20 10:00:00,UP,,,367.0,0.5833333333333334,Begin
368,PLINE300,SEZ304_2,2023-01-24 11:00:00,UP,,,368.0,1.6666666666666667,Begin
1729,PLINE300,SEZ304_2,2023-01-25 13:00:00,UP,,,1729.0,1.0,Begin
