,id,BillableDuration
0,76.0,0.0
1,80.0,7.25
2,81.0,8.583333333333334
3,653.0,4.0
4,654.0,0.0
5,655.0,0.0
6,77.0,7.6
7,78.0,17.416666666666668
8,79.0,8.2
9,895.0,1.0
10,896.0,1.0
11,897.0,1.0
12,894.0,1.0
13,898.0,1.0
14,891.0,1.0
15,892.0,1.0
16,893.0,0.5
17,145.0,1.2333333333333334
18,144.0,1.0333333333333334
19,1436.0,2.0
20,1573.0,1.0
21,1572.0,2.0
22,245.0,5.716666666666667
23,290.0,13.3
24,326.0,1.7
25,319.0,1.0
26,1662.0,1.0
27,1664.0,0.5
28,320.0,1.4666666666666666
29,1665.0,0.5
30,328.0,1.0833333333333333
31,321.0,1.0666666666666667
32,1663.0,1.0
33,1657.0,1.0
34,1671.0,1.0
35,324.0,1.0666666666666667
36,1658.0,1.0
37,329.0,0.5
38,322.0,1.0
39,327.0,1.0
40,1659.0,1.0
41,325.0,1.05
42,323.0,1.2333333333333334
43,1660.0,1.0
44,330.0,1.1666666666666667
45,317.0,1.0666666666666667
46,1666.0,0.5
47,1667.0,0.5
48,1668.0,0.5
49,318.0,1.0666666666666667
50,1654.0,1.0
51,1669.0,0.5
52,1655.0,1.0
53,1656.0,1.0
54,1670.0,0.5
55,1661.0,1.0
56,1988.0,0.5666666666666667
57,1989.0,3.55
58,130.0,29.666666666666668
59,868.0,8.0
60,1424.0,0.0
61,1645.0,0.0
62,1646.0,0.0
63,300.0,8.183333333333334
64,1990.0,1.3833333333333333
65,291.0,1.5
66,292.0,4.0
67,293.0,4.05
68,1991.0,2.0833333333333335
69,1992.0,6.483333333333333
70,1993.0,3.066666666666667
71,1648.0,7.05
72,1649.0,8.0
73,305.0,8.0
74,301.0,0.0
75,302.0,0.0
76,306.0,5.25
77,311.0,6.45
78,1651.0,4.0
79,308.0,7.0
80,303.0,8.0
81,310.0,0.0
82,304.0,8.0
83,309.0,0.0
84,307.0,3.55
85,1647.0,0.0
86,1650.0,6.5
87,281.0,1.1833333333333333
88,1418.0,1.5
89,1419.0,1.0
90,1420.0,2.0
91,1421.0,2.0
92,1422.0,1.0
93,1423.0,2.0
94,195.0,2.0
95,1727.0,1.5
96,1728.0,1.0
97,369.0,0.6833333333333333
98,1730.0,1.5
99,367.0,0.5833333333333334
100,368.0,1.6666666666666667
101,1729.0,1.0
102,112.0,1.65
103,1994.0,0.0
104,650.0,22.0
105,1435.0,2.0
106,1425.0,0.0
107,1426.0,1.0
108,1653.0,0.5
109,718.0,1.5
110,719.0,1.5
111,679.0,1.0
112,680.0,1.0
113,681.0,1.0
114,656.0,1.0
115,662.0,1.0
116,666.0,1.0
117,667.0,1.0
118,82.0,1.2
119,663.0,2.0
120,668.0,1.0
121,682.0,1.0
122,683.0,1.0
123,684.0,1.0
124,657.0,1.0
125,687.0,1.0
126,671.0,1.0
127,669.0,0.0
128,658.0,0.5
129,659.0,1.0
130,677.0,1.0
