FO_ROW_ID,ResTk,ResWBS,EVENT_ROW_ID,USER_ID,DATE_TIME_STAMP
3884,N/a,41603/41380,946989512,vdepauw,11/7/2022 9:03
3884,NULL,NULL,946994217,vdepauw,11/7/2022 9:37
3884,4168733,32005/01784,947264455,ripj,11/8/2022 7:26
3884,NULL,NULL,947279710,ripj,11/8/2022 9:20
3940,4168423,30990/32063,946992554,carval53,11/7/2022 9:30
3940,NULL,NULL,946992668,carval53,11/7/2022 9:30
3940,4168423,30990/32063,946992731,carval53,11/7/2022 9:30
3940,NULL,NULL,947256504,1f8psvc,11/8/2022 6:23
3975,4166921,32099/01506,947042659,vdpeer,11/7/2022 13:14
3975,NULL,NULL,947082524,vdpeer,11/7/2022 15:42
3975,4169283,32099/01506,947889898,jmesse,11/10/2022 10:15
3975,NULL,NULL,947900716,jmesse,11/10/2022 10:50
4419,4155813,97401/14983,945853442,segers56,11/2/2022 13:43
4419,NULL,NULL,945889250,segers56,11/2/2022 15:51
4419,4155415,97401/00942,946105904,wysock13,11/3/2022 11:13
4419,NULL,NULL,946190767,wysock13,11/3/2022 15:49
4419,4167372,97401/00942,947078300,wysock13,11/7/2022 15:24
4419,NULL,NULL,947107841,wysock13,11/7/2022 17:20
4424,N/a,31012/01506,945437543,hiro13,10/31/2022 10:38
4424,NULL,NULL,945453475,visker16,10/31/2022 12:12
4673,NULL,NULL,945259880,billin72,10/30/2022 12:49
4673,4166827,38199/01838,945482521,tsvetani,10/31/2022 14:37
4673,NULL,NULL,945498532,tsvetani,10/31/2022 15:22
4673,4167344,32499/01906,945518387,rengo74,10/31/2022 17:01
4673,NULL,NULL,945555770,rengo74,10/31/2022 18:30
4673,N/a,98300/01618,945779014,redants,11/2/2022 9:36
4673,NULL,NULL,945799700,redants,11/2/2022 10:42
4673,N/a,39320/36502,946065133,walika29,11/3/2022 8:45
4673,NULL,NULL,946078920,walika29,11/3/2022 9:34
4673,4166298,98500/01852,946140836,lux,11/3/2022 13:15
4673,NULL,NULL,946152910,lux,11/3/2022 14:00
4673,4168514,97406/01934,946998799,rupp93,11/7/2022 9:54
4673,NULL,NULL,947006141,rupp93,11/7/2022 10:23
4673,4168765,38199/01838,947008470,tsvetani,11/7/2022 10:35
4673,NULL,NULL,947034439,tsvetani,11/7/2022 12:14
4673,4168896,97700/01345,947060876,vais,11/7/2022 14:18
4673,NULL,NULL,947074207,vais,11/7/2022 15:10
4673,4169250,98300/14175,947553070,maes72,11/9/2022 6:33
4673,NULL,NULL,947588401,maes72,11/9/2022 9:25
4673,4169313,97401/01743,947594736,willegem,11/9/2022 9:47
4673,NULL,NULL,947625339,willegem,11/9/2022 11:22
4673,4166458,97401/01743,947633461,vais,11/9/2022 11:43
4673,NULL,NULL,947650813,vais,11/9/2022 12:21
4673,4169521,32299/00013,947671838,cochet,11/9/2022 14:13
4673,NULL,NULL,947705522,cochet,11/9/2022 16:06
4673,4169920,97401/01743,947969355,willegem,11/10/2022 15:11
4673,NULL,NULL,948007985,willegem,11/10/2022 17:16
4673,4170514,32299/00013,948242611,cochet,11/14/2022 7:16
4673,NULL,NULL,948270741,cochet,11/14/2022 9:12
4673,4170097,44999/01882,948276839,leruth67,11/14/2022 9:32
4673,NULL,NULL,948315408,leruth67,11/14/2022 11:22
4806,NULL,NULL,945437054,dara85,10/31/2022 10:35
4806,4165702,31499/00379,945437082,dara85,10/31/2022 10:35
4806,NULL,NULL,945458364,dara85,10/31/2022 12:36
4806,4167272,31499/00379,946365546,dara85,11/4/2022 7:10
4806,NULL,NULL,946411186,dara85,11/4/2022 11:03
4806,4168213,31499/00379,946973705,dara85,11/7/2022 7:12
4806,NULL,NULL,947004852,dara85,11/7/2022 10:16
4806,4169249,31499/00379,948367430,dara85,11/14/2022 14:47
4806,NULL,NULL,948416175,dara85,11/14/2022 17:24
4926,4154857,37004/37141,945381254,redants,10/31/2022 5:56
4926,NULL,NULL,945383644,redants,10/31/2022 6:36
4926,N/a,36003/36503,945537992,verhoevj,10/31/2022 17:56
4926,NULL,NULL,945603408,verhoevj,10/31/2022 20:43
4926,4155482,32299/00013,945789111,beirnaer,11/2/2022 10:11
4926,NULL,NULL,945843014,beirnaer,11/2/2022 12:54
4926,4155972,98300/01618,945862370,dusar,11/2/2022 14:24
4926,NULL,NULL,945900169,dusar,11/2/2022 16:37
4926,N/a,36003/36503,945911311,verhoevj,11/2/2022 17:27
4926,NULL,NULL,945957961,verhoevj,11/2/2022 20:10
4926,N/a,98300/14175,946010672,konecn85,11/3/2022 2:26
4926,NULL,NULL,946043139,konecn85,11/3/2022 6:00
4926,4155973,43013/97275,946044146,redants,11/3/2022 6:08
4926,NULL,NULL,946057689,redants,11/3/2022 7:43
4926,N/a,39320/36502,946218936,sterke41,11/3/2022 17:33
4926,NULL,NULL,946282635,sterke41,11/3/2022 21:31
4926,4156332,31029/01811,946354328,redants,11/4/2022 5:57
4926,NULL,NULL,946364787,redants,11/4/2022 7:07
4926,4166516,32299/00013,946374903,beirnaer,11/4/2022 7:54
4926,NULL,NULL,946379308,beirnaer,11/4/2022 8:24
4926,4166516,32299/00013,946379310,beirnaer,11/4/2022 8:24
4926,NULL,NULL,946397992,beirnaer,11/4/2022 10:02
4926,4167305,00999/00505,946401981,janard53,11/4/2022 10:20
4926,NULL,NULL,946440085,beirnaer,11/4/2022 12:50
4926,4166516,32299/00013,946440109,beirnaer,11/4/2022 12:50
4926,NULL,NULL,946447923,beirnaer,11/4/2022 13:37
4926,N/a,37093/02175,946473533,claeseng,11/4/2022 14:59
4926,NULL,NULL,946497430,claeseng,11/4/2022 16:20
4926,N/a,39320/36502,946582749,vdstaey,11/4/2022 22:02
