EVENT_ROW_ID,Datim,State_SC,ToolName,State_TR,State,FACILITY,LithoCluster
937572860,9/30/2022 22:32,DOWN_TEST,SC1000,PARTLY_UP,DOWN,PLINE300,1000
937616444,10/1/2022 3:07,UP,SC1000,PARTLY_UP,DOWN,PLINE300,1000
937662517,10/1/2022 8:11,RESERVED,SC1000,PARTLY_UP,DOWN,PLINE300,1000
937674737,10/1/2022 9:40,UP,SC1000,PARTLY_UP,DOWN,PLINE300,1000
937831487,10/2/2022 8:02,RESERVED,SC1000,PARTLY_UP,DOWN,PLINE300,1000
937854063,10/2/2022 9:59,UP,SC1000,PARTLY_UP,DOWN,PLINE300,1000
937920691,10/2/2022 19:17,DOWN_TEST,SC1000,PARTLY_UP,DOWN,PLINE300,1000
937933638,10/2/2022 21:49,UP,SC1000,PARTLY_UP,DOWN,PLINE300,1000
937980575,10/3/2022 8:20,UP,TR1000,RESERVED,DOWN,PLINE300,1000
937980585,10/3/2022 8:21,RESERVED,SC1000,RESERVED,DOWN,PLINE300,1000
937985578,10/3/2022 9:21,UP,SC1000,RESERVED,DOWN,PLINE300,1000
937985591,10/3/2022 9:21,UP,TR1000,PARTLY_UP,DOWN,PLINE300,1000
938238485,10/4/2022 4:59,DOWN_TEST,SC1000,PARTLY_UP,DOWN,PLINE300,1000
938240660,10/4/2022 5:24,UP,SC1000,PARTLY_UP,DOWN,PLINE300,1000
938263074,10/4/2022 7:59,IN_MAINT,SC1000,PARTLY_UP,DOWN,PLINE300,1000
938263099,10/4/2022 7:59,IN_MAINT,TR1000,IN_MAINT,DOWN,PLINE300,1000
938870364,10/6/2022 11:10,IN_MAINT,TR1000,UP,DOWN,PLINE300,1000
939112254,10/7/2022 8:51,IN_MAINT,TR1000,IN_MAINT,DOWN,PLINE300,1000
939391857,10/8/2022 7:14,PARTLY_UP,SC1000,IN_MAINT,DOWN,PLINE300,1000
939392049,10/8/2022 7:15,PARTLY_UP,TR1000,PARTLY_UP,DOWN,PLINE300,1000
939459091,10/8/2022 14:02,PARTLY_UP,TR1000,RESERVED,DOWN,PLINE300,1000
939475459,10/8/2022 15:56,PARTLY_UP,TR1000,PARTLY_UP,DOWN,PLINE300,1000
939554346,10/9/2022 0:00,DOWN_TEST,SC1000,PARTLY_UP,DOWN,PLINE300,1000
939596732,10/9/2022 8:44,DOWN_TEST,TR1000,DOWN_TEST,DOWN,PLINE300,1000
939711127,10/10/2022 0:23,IDLE_ERROR,SC1000,DOWN_TEST,DOWN,PLINE300,1000
939718050,10/10/2022 1:32,PARTLY_UP,SC1000,DOWN_TEST,DOWN,PLINE300,1000
939755397,10/10/2022 8:28,PARTLY_UP,TR1000,RESERVED,DOWN,PLINE300,1000
939755505,10/10/2022 8:29,RESERVED,SC1000,RESERVED,DOWN,PLINE300,1000
939759899,10/10/2022 9:13,RESERVED,TR1000,DOWN_TEST,DOWN,PLINE300,1000
939780649,10/10/2022 10:48,PARTLY_UP,SC1000,DOWN_TEST,DOWN,PLINE300,1000
939807343,10/10/2022 12:13,PARTLY_UP,TR1000,UP,DOWN,PLINE300,1000
939823709,10/10/2022 13:50,RESERVED,SC1000,UP,DOWN,PLINE300,1000
