,FO_ROW_ID,DATE_TIME_STAMP_Begin,DATE_TIME_STAMP_End,EVENT_ROW_ID_Begin,EVENT_ROW_ID_End,ResTk,USER_ID_Start,USER_ID_End,WBS
8,10907.0,2022-11-02 06:47:00,2022-11-02 09:18:00,945753156.0,945775583.0,N/a,sainch77,sainch77,39320/36502
9,10907.0,2022-11-02 09:22:00,2022-11-02 10:05:00,945776118.0,945787311.0,4167497,dangol,dangol,38199/00881
10,10907.0,2022-11-02 10:15:00,2022-11-02 14:07:00,945791188.0,945858765.0,N/a,michal78,michal78,39320/36502
11,10907.0,2022-11-02 14:08:00,2022-11-02 17:12:00,945859113.0,945908108.0,N/a,pavlov38,pavlov38,39320/36502
12,10907.0,2022-11-02 20:10:00,2022-11-02 21:39:00,945957981.0,945972234.0,N/a,verhoevj,verhoevj,36003/36503
13,10907.0,2022-11-02 22:05:00,2022-11-03 01:42:00,945976737.0,946004642.0,N/a,derudd92,derudd92,39320/36502
14,10907.0,2022-11-03 02:36:00,2022-11-03 05:57:00,946012982.0,946042353.0,N/a,vrebos45,vrebos45,39320/36502
15,10907.0,2022-11-03 07:58:00,2022-11-03 09:50:00,946059365.0,946083591.0,4167008,beirnaer,beirnaer,38199/01490
16,10907.0,2022-11-03 09:59:00,2022-11-03 14:04:00,946086790.0,946153264.0,N/a,michal78,michal78,39320/36502
17,10907.0,2022-11-03 14:16:00,2022-11-03 16:38:00,946158497.0,946206565.0,N/a,subedi56,subedi56,39320/36502
18,10907.0,2022-11-03 17:21:00,2022-11-03 18:02:00,946216857.0,946239020.0,N/a,dutrow20,dutrow20,39320/36502
19,10907.0,2022-11-03 20:32:00,2022-11-03 21:37:00,946271151.0,946283553.0,N/a,dutrow20,dutrow20,39320/36502
20,10907.0,2022-11-03 22:15:00,2022-11-04 02:14:00,946288546.0,946325838.0,N/a,derudd92,derudd92,39320/36502
21,10907.0,2022-11-04 05:06:00,2022-11-04 05:42:00,946344009.0,946351625.0,N/a,vrebos45,vrebos45,39320/36502
22,10907.0,2022-11-04 08:09:00,2022-11-04 09:54:00,946377505.0,946395258.0,4167620,vrancken,iraci88,37092/02172
23,10907.0,2022-11-04 10:08:00,2022-11-04 14:06:00,946399416.0,946460090.0,N/a,michal78,michal78,39320/36502
24,10907.0,2022-11-04 16:31:00,2022-11-04 17:24:00,946500113.0,946512688.0,N/a,claeseng,claeseng,38199/01951
25,10907.0,2022-11-04 19:00:00,2022-11-04 21:50:00,946555898.0,946582178.0,N/a,sterke41,sterke41,39320/36502
26,10907.0,2022-11-04 22:06:00,2022-11-05 01:43:00,946582965.0,946614845.0,N/a,derudd92,derudd92,39320/36502
27,10907.0,2022-11-05 03:17:00,2022-11-05 05:56:00,946625680.0,946639672.0,N/a,vrebos45,vrebos45,39320/36502
28,10907.0,2022-11-05 06:45:00,2022-11-05 12:48:00,946641348.0,946698165.0,N/a,verhoevj,verhoevj,36003/36503
29,10907.0,2022-11-05 14:07:00,2022-11-05 18:14:00,946709523.0,946751652.0,N/a,pavlov38,pavlov38,39320/36502
30,10907.0,2022-11-05 18:19:00,2022-11-06 06:04:00,946752941.0,946816925.0,N/a,vdstaey,rutkow29,39320/36502
31,10907.0,2022-11-06 07:35:00,2022-11-06 17:42:00,946827169.0,946891100.0,N/a,verhoevj,peeter11,36003/36503
32,10907.0,2022-11-08 19:49:00,2022-11-08 21:52:00,947464112.0,947488585.0,N/a,konecn85,sainch77,38199/02252
33,10907.0,2022-11-08 21:52:00,2022-11-09 01:47:00,947488628.0,947523318.0,N/a,sainch77,sainch77,39320/36502
34,10907.0,2022-11-09 02:53:00,2022-11-09 05:49:00,947530615.0,947547801.0,N/a,subedi56,subedi56,39320/36502
35,10907.0,2022-11-09 06:25:00,2022-11-09 09:22:00,947551658.0,947587495.0,N/a,dutrow20,dutrow20,39320/36502
36,10907.0,2022-11-09 10:00:00,2022-11-10 17:21:00,947597474.0,948009816.0,N/a,dutrow20,peeter11,39320/36502
37,10907.0,2022-11-10 17:22:00,2022-11-10 21:40:00,948009841.0,948075072.0,4168874,peeter11,peeter11,38199/01490
38,10907.0,2022-11-10 22:07:00,2022-11-11 01:03:00,948078254.0,948103170.0,N/a,sainch77,sainch77,39320/36502
39,10907.0,2022-11-11 02:15:00,2022-11-11 05:52:00,948112268.0,948122443.0,N/a,sainch77,sainch77,39320/36502
40,10907.0,2022-11-14 06:50:00,2022-11-14 10:00:00,948235728.0,948289709.0,N/a,peeter11,peeter11,39320/36502
41,10907.0,2022-11-14 10:12:00,2022-11-14 13:54:00,948295124.0,948354262.0,N/a,verhoevj,verhoevj,36003/36503
42,10907.0,2022-11-14 14:23:00,2022-11-14 18:55:00,948360782.0,948464707.0,N/a,subedi56,subedi56,39320/36502
43,10907.0,2022-11-14 19:02:00,2022-11-14 21:44:00,948466266.0,948494676.0,N/a,sainch77,sainch77,39320/36502
1,10907.0,2022-10-30 06:47:00,2022-10-30 17:50:00,945216513.0,945302108.0,N/a,dutrow20,dutrow20,39320/36502
2,10907.0,2022-10-30 20:27:00,2022-10-31 05:57:00,945337941.0,945381259.0,N/a,subedi56,subedi56,39320/36502
3,10907.0,2022-10-31 08:01:00,2022-10-31 12:24:00,945395703.0,945455760.0,N/a,demoniei,iraci88,37092/02172
4,10907.0,2022-10-31 14:07:00,2022-10-31 17:37:00,945476602.0,945524883.0,4167152,peeter11,peeter11,37092/02172
5,10907.0,2022-10-31 18:06:00,2022-11-01 01:44:00,945543001.0,945637486.0,N/a,pavlov38,derudd92,39320/36502
6,10907.0,2022-11-01 02:32:00,2022-11-01 05:54:00,945644257.0,945660249.0,N/a,vrebos45,vrebos45,39320/36502
7,10907.0,2022-11-01 21:58:00,2022-11-02 01:40:00,945690609.0,945719429.0,N/a,derudd92,derudd92,39320/36502
8,10907.0,2022-11-02 06:47:00,2022-11-02 09:18:00,945753156.0,945775583.0,N/a,sainch77,sainch77,39320/36502
9,10907.0,2022-11-02 09:22:00,2022-11-02 10:05:00,945776118.0,945787311.0,4167497,dangol,dangol,38199/00881
10,10907.0,2022-11-02 10:15:00,2022-11-02 14:07:00,945791188.0,945858765.0,N/a,michal78,michal78,39320/36502
11,10907.0,2022-11-02 14:08:00,2022-11-02 17:12:00,945859113.0,945908108.0,N/a,pavlov38,pavlov38,39320/36502
12,10907.0,2022-11-02 20:10:00,2022-11-02 21:39:00,945957981.0,945972234.0,N/a,verhoevj,verhoevj,36003/36503
13,10907.0,2022-11-02 22:05:00,2022-11-03 01:42:00,945976737.0,946004642.0,N/a,derudd92,derudd92,39320/36502
14,10907.0,2022-11-03 02:36:00,2022-11-03 05:57:00,946012982.0,946042353.0,N/a,vrebos45,vrebos45,39320/36502
15,10907.0,2022-11-03 07:58:00,2022-11-03 09:50:00,946059365.0,946083591.0,4167008,beirnaer,beirnaer,38199/01490
16,10907.0,2022-11-03 09:59:00,2022-11-03 14:04:00,946086790.0,946153264.0,N/a,michal78,michal78,39320/36502
17,10907.0,2022-11-03 14:16:00,2022-11-03 16:38:00,946158497.0,946206565.0,N/a,subedi56,subedi56,39320/36502
18,10907.0,2022-11-03 17:21:00,2022-11-03 18:02:00,946216857.0,946239020.0,N/a,dutrow20,dutrow20,39320/36502
19,10907.0,2022-11-03 20:32:00,2022-11-03 21:37:00,946271151.0,946283553.0,N/a,dutrow20,dutrow20,39320/36502
20,10907.0,2022-11-03 22:15:00,2022-11-04 02:14:00,946288546.0,946325838.0,N/a,derudd92,derudd92,39320/36502
21,10907.0,2022-11-04 05:06:00,2022-11-04 05:42:00,946344009.0,946351625.0,N/a,vrebos45,vrebos45,39320/36502
22,10907.0,2022-11-04 08:09:00,2022-11-04 09:54:00,946377505.0,946395258.0,4167620,vrancken,iraci88,37092/02172
23,10907.0,2022-11-04 10:08:00,2022-11-04 14:06:00,946399416.0,946460090.0,N/a,michal78,michal78,39320/36502
24,10907.0,2022-11-04 16:31:00,2022-11-04 17:24:00,946500113.0,946512688.0,N/a,claeseng,claeseng,38199/01951
25,10907.0,2022-11-04 19:00:00,2022-11-04 21:50:00,946555898.0,946582178.0,N/a,sterke41,sterke41,39320/36502
26,10907.0,2022-11-04 22:06:00,2022-11-05 01:43:00,946582965.0,946614845.0,N/a,derudd92,derudd92,39320/36502
27,10907.0,2022-11-05 03:17:00,2022-11-05 05:56:00,946625680.0,946639672.0,N/a,vrebos45,vrebos45,39320/36502
28,10907.0,2022-11-05 06:45:00,2022-11-05 12:48:00,946641348.0,946698165.0,N/a,verhoevj,verhoevj,36003/36503
29,10907.0,2022-11-05 14:07:00,2022-11-05 18:14:00,946709523.0,946751652.0,N/a,pavlov38,pavlov38,39320/36502
30,10907.0,2022-11-05 18:19:00,2022-11-06 06:04:00,946752941.0,946816925.0,N/a,vdstaey,rutkow29,39320/36502
31,10907.0,2022-11-06 07:35:00,2022-11-06 17:42:00,946827169.0,946891100.0,N/a,verhoevj,peeter11,36003/36503
32,10907.0,2022-11-08 19:49:00,2022-11-08 21:52:00,947464112.0,947488585.0,N/a,konecn85,sainch77,38199/02252
33,10907.0,2022-11-08 21:52:00,2022-11-09 01:47:00,947488628.0,947523318.0,N/a,sainch77,sainch77,39320/36502
34,10907.0,2022-11-09 02:53:00,2022-11-09 05:49:00,947530615.0,947547801.0,N/a,subedi56,subedi56,39320/36502
35,10907.0,2022-11-09 06:25:00,2022-11-09 09:22:00,947551658.0,947587495.0,N/a,dutrow20,dutrow20,39320/36502
36,10907.0,2022-11-09 10:00:00,2022-11-10 17:21:00,947597474.0,948009816.0,N/a,dutrow20,peeter11,39320/36502
37,10907.0,2022-11-10 17:22:00,2022-11-10 21:40:00,948009841.0,948075072.0,4168874,peeter11,peeter11,38199/01490
38,10907.0,2022-11-10 22:07:00,2022-11-11 01:03:00,948078254.0,948103170.0,N/a,sainch77,sainch77,39320/36502
39,10907.0,2022-11-11 02:15:00,2022-11-11 05:52:00,948112268.0,948122443.0,N/a,sainch77,sainch77,39320/36502
40,10907.0,2022-11-14 06:50:00,2022-11-14 10:00:00,948235728.0,948289709.0,N/a,peeter11,peeter11,39320/36502
41,10907.0,2022-11-14 10:12:00,2022-11-14 13:54:00,948295124.0,948354262.0,N/a,verhoevj,verhoevj,36003/36503
42,10907.0,2022-11-14 14:23:00,2022-11-14 18:55:00,948360782.0,948464707.0,N/a,subedi56,subedi56,39320/36502
43,10907.0,2022-11-14 19:02:00,2022-11-14 21:44:00,948466266.0,948494676.0,N/a,sainch77,sainch77,39320/36502
1,12927.0,2022-11-07 14:40:00,2022-11-08 21:33:00,947066014.0,947485954.0,4168631,jussot18,ersekf98,36056/36502
1,12927.0,2022-11-07 14:40:00,2022-11-08 21:33:00,947066014.0,947485954.0,4168631,jussot18,ersekf98,36056/36502
2,12955.0,2022-11-02 09:06:00,2022-11-02 23:52:00,945774114.0,945994284.0,4166370,beggia74,irutha45,31199/01988
3,12955.0,2022-11-03 13:25:00,2022-11-03 14:47:00,946143359.0,946169610.0,4167629,chowri97,chowri97,31199/01988
4,12955.0,2022-11-09 11:01:00,2022-11-09 15:04:00,947616427.0,947686104.0,4169377,chowri97,chowri97,31199/01988
5,12955.0,2022-11-09 15:04:00,2022-11-09 22:23:00,947686217.0,947793238.0,4169019,chowri97,verbee16,31199/01988
6,12955.0,2022-11-10 08:17:00,2022-11-10 18:31:00,947867349.0,948041917.0,4168807,beral49,debout81,31199/01918
2,12955.0,2022-11-02 09:06:00,2022-11-02 23:52:00,945774114.0,945994284.0,4166370,beggia74,irutha45,31199/01988
3,12955.0,2022-11-03 13:25:00,2022-11-03 14:47:00,946143359.0,946169610.0,4167629,chowri97,chowri97,31199/01988
4,12955.0,2022-11-09 11:01:00,2022-11-09 15:04:00,947616427.0,947686104.0,4169377,chowri97,chowri97,31199/01988
5,12955.0,2022-11-09 15:04:00,2022-11-09 22:23:00,947686217.0,947793238.0,4169019,chowri97,verbee16,31199/01988
6,12955.0,2022-11-10 08:17:00,2022-11-10 18:31:00,947867349.0,948041917.0,4168807,beral49,debout81,31199/01918
1,13055.0,2022-10-30 11:08:00,2022-10-31 09:17:00,945246202.0,945405146.0,4166836,schrauw,newman74,31199/02007
2,13055.0,2022-10-31 13:05:00,2022-11-02 06:49:00,945464306.0,945753438.0,4167062,debruy71,willem81,98601/01062
3,13055.0,2022-11-03 15:58:00,2022-11-03 17:04:00,946195568.0,946214067.0,4167219,monter30,monter30,31299/31818
4,13055.0,2022-11-04 09:02:00,2022-11-07 08:55:00,946384777.0,946988893.0,4167468,goovae19,goovae19,31199/01617
5,13055.0,2022-11-07 08:55:00,2022-11-07 10:52:00,946988894.0,947012040.0,4168475,goovae19,goovae19,31199/00650
6,13055.0,2022-11-14 08:20:00,2022-11-14 09:45:00,948262047.0,948284084.0,4170190,newman74,newman74,31199/01995
1,13055.0,2022-10-30 11:08:00,2022-10-31 09:17:00,945246202.0,945405146.0,4166836,schrauw,newman74,31199/02007
2,13055.0,2022-10-31 13:05:00,2022-11-02 06:49:00,945464306.0,945753438.0,4167062,debruy71,willem81,98601/01062
3,13055.0,2022-11-03 15:58:00,2022-11-03 17:04:00,946195568.0,946214067.0,4167219,monter30,monter30,31299/31818
4,13055.0,2022-11-04 09:02:00,2022-11-07 08:55:00,946384777.0,946988893.0,4167468,goovae19,goovae19,31199/01617
5,13055.0,2022-11-07 08:55:00,2022-11-07 10:52:00,946988894.0,947012040.0,4168475,goovae19,goovae19,31199/00650
6,13055.0,2022-11-14 08:20:00,2022-11-14 09:45:00,948262047.0,948284084.0,4170190,newman74,newman74,31199/01995
5,16067.0,2022-11-04 09:28:00,2022-11-04 11:06:00,946389820.0,946411875.0,4167776,soulie26,soulie26,43900/02205
6,16067.0,2022-11-04 15:01:00,2022-11-04 18:47:00,946474577.0,946554949.0,4167518,agiann70,agiann70,31299/01284
7,16067.0,2022-11-07 16:36:00,2022-11-07 19:21:00,947097987.0,947162160.0,4168518,agiann70,agiann70,31299/01284
8,16067.0,2022-11-08 10:24:00,2022-11-08 10:59:00,947292989.0,947306396.0,4168653,dekkers,devul,31499/01284
9,16067.0,2022-11-09 09:13:00,2022-11-09 10:45:00,947586371.0,947612415.0,4169507,soulie26,soulie26,31499/00640
10,16067.0,2022-11-09 15:04:00,2022-11-09 16:33:00,947686043.0,947714951.0,4169087,agiann70,agiann70,31299/01284
11,16067.0,2022-11-09 17:06:00,2022-11-10 01:55:00,947726771.0,947819347.0,4169094,perezl56,martin47,43900/02205
12,16067.0,2022-11-10 10:56:00,2022-11-10 14:13:00,947902523.0,947952312.0,4168801,devul,devul,38199/01593
13,16067.0,2022-11-10 17:30:00,2022-11-14 11:01:00,948013067.0,948309248.0,4170013,perezl56,perezl56,43900/02205
14,16067.0,2022-11-14 13:03:00,2022-11-14 21:56:00,948338110.0,948497111.0,4169149,devul,goncal36,37037/02098
5,16067.0,2022-11-04 09:28:00,2022-11-04 11:06:00,946389820.0,946411875.0,4167776,soulie26,soulie26,43900/02205
6,16067.0,2022-11-04 15:01:00,2022-11-04 18:47:00,946474577.0,946554949.0,4167518,agiann70,agiann70,31299/01284
7,16067.0,2022-11-07 16:36:00,2022-11-07 19:21:00,947097987.0,947162160.0,4168518,agiann70,agiann70,31299/01284
8,16067.0,2022-11-08 10:24:00,2022-11-08 10:59:00,947292989.0,947306396.0,4168653,dekkers,devul,31499/01284
9,16067.0,2022-11-09 09:13:00,2022-11-09 10:45:00,947586371.0,947612415.0,4169507,soulie26,soulie26,31499/00640
10,16067.0,2022-11-09 15:04:00,2022-11-09 16:33:00,947686043.0,947714951.0,4169087,agiann70,agiann70,31299/01284
11,16067.0,2022-11-09 17:06:00,2022-11-10 01:55:00,947726771.0,947819347.0,4169094,perezl56,martin47,43900/02205
12,16067.0,2022-11-10 10:56:00,2022-11-10 14:13:00,947902523.0,947952312.0,4168801,devul,devul,38199/01593
13,16067.0,2022-11-10 17:30:00,2022-11-14 11:01:00,948013067.0,948309248.0,4170013,perezl56,perezl56,43900/02205
14,16067.0,2022-11-14 13:03:00,2022-11-14 21:56:00,948338110.0,948497111.0,4169149,devul,goncal36,37037/02098
1,16866.0,2022-11-03 15:49:00,2022-11-04 08:13:00,946190786.0,946378386.0,4168003,homkar65,vdveld25,30990/32063
1,16866.0,2022-11-03 15:49:00,2022-11-04 08:13:00,946190786.0,946378386.0,4168003,homkar65,vdveld25,30990/32063
2,20749.0,2022-11-02 20:01:00,2022-11-02 20:43:00,945956873.0,945961847.0,4167528,furuka28,furuka28,31199/01514
3,20749.0,2022-11-03 08:29:00,2022-11-03 09:56:00,946062177.0,946086229.0,4167650,roy82,roy82,31199/00653
2,20749.0,2022-11-02 20:01:00,2022-11-02 20:43:00,945956873.0,945961847.0,4167528,furuka28,furuka28,31199/01514
3,20749.0,2022-11-03 08:29:00,2022-11-03 09:56:00,946062177.0,946086229.0,4167650,roy82,roy82,31199/00653
1,22450.0,2022-11-05 16:06:00,2022-11-05 17:31:00,946722546.0,946730457.0,4168193,vbelle62,vbelle62,36003/01224
2,22450.0,2022-11-09 15:13:00,2022-11-09 22:40:00,947688534.0,947795855.0,4169760,vbelle62,verbee16,36003/01224
1,22450.0,2022-11-05 16:06:00,2022-11-05 17:31:00,946722546.0,946730457.0,4168193,vbelle62,vbelle62,36003/01224
2,22450.0,2022-11-09 15:13:00,2022-11-09 22:40:00,947688534.0,947795855.0,4169760,vbelle62,verbee16,36003/01224
2,24322.0,2022-11-03 02:38:00,2022-11-07 09:47:00,946013407.0,946996450.0,4166401,pauluss,drijboom,42199/00160
2,24322.0,2022-11-03 02:38:00,2022-11-07 09:47:00,946013407.0,946996450.0,4166401,pauluss,drijboom,42199/00160
